Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 2 Equip B	1	15	1						weap9	20	armo9	10	weap12	60	armo12	30	weap15	140	armo15	70	weap18	20	armo18	10	Act 3 Coupon A	4	Act 2 Equip A	182	182			0
Act 2 Equip C	1	18	1						weap12	20	armo12	10	weap15	60	armo15	30	weap18	140	armo18	70	weap21	20	armo21	10	Act 3 Coupon B	4	Act 2 Equip B	364	364			0
Act 3 Equip A	1	20	1						weap15	20	armo15	10	weap18	60	armo18	30	weap21	140	armo21	70	weap24	20	armo24	10	Act 3 Coupon C	4	Act 2 Equip C	728	364			0
Act 3 Equip B	1	22	1						weap18	20	armo18	10	weap21	60	armo21	30	weap24	140	armo24	70	weap27	20	armo27	10	Act 4 Coupon A	4	Act 3 Equip A	1092	364			0
Act 3 Equip C	1	24	1						weap21	20	armo21	10	weap24	60	armo24	30	weap27	140	armo27	70	weap30	20	armo30	10	Act 4 Coupon B	4	Act 3 Equip B	1456	364			0
Act 4 Equip A	1	26	1						weap24	20	armo24	10	weap27	60	armo27	30	weap30	140	armo30	70	weap33	20	armo33	10	Act 5 Coupon A	4	Act 3 Equip C	1820	364			0
Act 4 Equip B	1	29	1						weap27	20	armo27	10	weap30	60	armo30	30	weap33	140	armo33	70	weap36	20	armo36	10	Act 5 Coupon B	4	Act 4 Equip A	2184	364			0
Act 5 Equip A	1	32	1						weap27	20	armo27	10	weap30	60	armo30	30	weap33	140	armo33	70	weap36	60	armo36	30	Act 5 Coupon C	4	Act 4 Equip B	2548	364			0
Act 5 Equip B	1	34	1						weap30	20	armo30	10	weap33	60	armo33	30	weap36	140	armo36	70	weap39	20	armo39	10	Act 1 (N) Coupon A	4	Act 5 Equip A	2912	364			0
Act 5 Equip C	1	36	1						weap30	20	armo30	10	weap33	60	armo33	30	weap36	140	armo36	70	weap39	60	armo39	30	Act 1 (N) Coupon B	4	Act 5 Equip B	3276	424			0
Act 1 (N) Equip A	1	38	1						weap33	20	armo33	10	weap36	60	armo36	30	weap39	140	armo39	70	weap42	20	armo42	10	Act 1 (N) Coupon C	4	Act 5 Equip C	3700	364			0
Act 1 (N) Equip B	1	40	1						weap33	20	armo33	10	weap36	60	armo36	30	weap39	140	armo39	70	weap42	60	armo42	30	Act 2 (N) Coupon A	4	Act 1 (N) Equip A	4064	424			0
Act 1 (N) Equip C	1	42	1						weap36	20	armo36	10	weap39	60	armo39	30	weap42	140	armo42	70	weap45	20	armo45	10	Act 2 (N) Coupon B	4	Act 1 (N) Equip A	4488	364			0
Act 2 (N) Equip A	1	44	1						weap36	20	armo36	10	weap39	60	armo39	30	weap42	140	armo42	70	weap45	60	armo45	30	Act 2 (N) Coupon C	4	Act 1 (N) Equip B	4852	424			0
Act 2 (N) Equip B	1	46	1						weap39	20	armo39	10	weap42	60	armo42	30	weap45	140	armo45	70	weap48	20	armo48	10	Act 3 (N) Coupon A	4	Act 2 (N) Equip A	5276	364			0
Act 2 (N) Equip C	1	48	1						weap39	20	armo39	10	weap42	60	armo42	30	weap45	140	armo45	70	weap48	60	armo48	30	Act 3 (N) Coupon B	4	Act 2 (N) Equip A	5640	424			0
Act 3 (N) Equip A	1	50	1						weap42	20	armo42	10	weap45	60	armo45	30	weap48	140	armo48	70	weap51	20	armo51	10	Act 3 (N) Coupon C	4	Act 2 (N) Equip B	6064	364			0
Act 3 (N) Equip B	1	52	1						weap42	20	armo42	10	weap45	60	armo45	30	weap48	140	armo48	70	weap51	60	armo51	30	Act 4 (N) Coupon A	4	Act 3 (N) Equip A	6428	424			0
Act 3 (N) Equip C	1	54	1						weap45	20	armo45	10	weap48	60	armo48	30	weap51	140	armo51	70	weap54	20	armo54	10	Act 4 (N) Coupon B	4	Act 3 (N) Equip A	6852	364			0
Act 4 (N) Equip A	1	56	1						weap45	20	armo45	10	weap48	60	armo48	30	weap51	140	armo51	70	weap54	60	armo54	30	Act 5 (N) Coupon A	4	Act 3 (N) Equip B	7216	424			0
Act 4 (N) Equip B	1	58	1						weap48	20	armo48	10	weap51	60	armo51	30	weap54	140	armo54	70	weap57	60	armo57	30	Act 5 (N) Coupon B	4	Act 4 (N) Equip A	7640	364			0
Act 5 (N) Equip A	1	62	1						weap51	20	armo51	10	weap54	60	armo54	30	weap57	140	armo57	70	weap60	20	armo60	10	Act 5 (N) Coupon C	4	Act 4 (N) Equip B	8004	424			0
Act 5 (N) Equip B	1	64	1						weap51	20	armo51	10	weap54	60	armo54	30	weap57	140	armo57	70	weap60	60	armo60	30	Act 1 (H) Coupon A	4	Act 5 (N) Equip A	8428	424			0
Act 5 (N) Equip C	1	66	1						weap54	20	armo54	10	weap57	60	armo57	30	weap60	140	armo60	70	weap63	20	armo63	10	Act 1 (H) Coupon B	4	Act 5 (N) Equip B	8852	364			0
Act 1 (H) Equip A	1	68	1						weap54	20	armo54	10	weap57	60	armo57	30	weap60	140	armo60	70	weap63	60	armo63	30	Act 1 (H) Coupon C	4	Act 5 (N) Equip C	9216	424			0
Act 1 (H) Equip B	1	70	1						weap57	20	armo57	10	weap60	60	armo60	30	weap63	140	armo63	70	weap66	20	armo66	10	Act 2 (H) Coupon A	4	Act 1 (H) Equip A	9640	364			0
Act 1 (H) Equip C	1	71	1						weap57	20	armo57	10	weap60	60	armo60	30	weap63	140	armo63	70	weap66	60	armo66	30	Act 2 (H) Coupon B	4	Act 1 (H) Equip A	10004	424			0
Act 2 (H) Equip A	1	73	1						weap60	20	armo60	10	weap63	60	armo63	30	weap66	140	armo66	70	weap69	20	armo69	10	Act 2 (H) Coupon C	4	Act 1 (H) Equip B	10428	364			0
Act 2 (H) Equip B	1	75	1						weap60	20	armo60	10	weap63	60	armo63	30	weap66	140	armo66	70	weap69	60	armo69	30	Act 3 (H) Coupon A	4	Act 2 (H) Equip A	10792	424			0
Act 2 (H) Equip C	1	76	1						weap63	20	armo63	10	weap66	60	armo66	30	weap69	140	armo69	70	weap72	20	armo72	10	Act 3 (H) Coupon B	4	Act 2 (H) Equip A	11216	364			0
Act 3 (H) Equip A	1	77	1						weap63	20	armo63	10	weap66	60	armo66	30	weap69	140	armo69	70	weap72	60	armo72	30	Act 3 (H) Coupon C	4	Act 2 (H) Equip B	11580	424			0
Act 3 (H) Equip B	1	78	1						weap66	20	armo66	10	weap69	60	armo69	30	weap72	140	armo72	70	weap75	20	armo75	10	Act 4 (H) Coupon A	4	Act 3 (H) Equip A	12004	364			0
Act 3 (H) Equip C	1	79	1						weap69	20	armo69	10	weap72	60	armo72	30	weap75	140	armo75	70	weap78	20	armo78	10	Act 4 (H) Coupon B	4	Act 3 (H) Equip A	12368	424			0
Act 4 (H) Equip A	1	80	1						weap69	20	armo69	10	weap72	60	armo72	30	weap75	140	armo75	70	weap78	60	armo78	30	Act 5 (H) Coupon A	4	Act 3 (H) Equip B	12792	364			0
Act 4 (H) Equip B	1	81	1						weap72	20	armo72	10	weap75	60	armo75	30	weap78	140	armo78	70	weap81	60	armo81	30	Act 5 (H) Coupon B	4	Act 4 (H) Equip A	13156	364			0
Act 5 (H) Equip A	1	83	1						weap75	20	armo75	10	weap78	60	armo78	30	weap81	140	armo81	70	weap84	60	armo84	30	Act 5 (H) Coupon C	4	Act 4 (H) Equip B	13520	424			0
Act 5 (H) Equip B	1	84	1						weap78	20	armo78	10	weap81	60	armo81	30	weap84	140	armo84	70	weap87	60	armo87	30	Act 5 (H) Coupon C	4	Act 5 (H) Equip A	13944	424			0
Act 5 (H) Equip C	1	85	1						weap81	20	armo81	10	weap84	60	armo84	30	weap87	140	armo87	70	Act 5 (H) Coupon C	4	Act 5 (H) Equip B	14368					424			0
Act 1 Chest A	6	0	4					100	Gold	5	Act 1 Equip A	22	Act 1 Junk	20	Act 1 Good	3	Nothing	50														0
Act 1 Chest B	6	5	4					100	Gold	5	Act 1 Equip B	22	Act 1 Junk	20	Act 1 Good	3	Nothing	50														0
Act 1 Chest C	6	9	4					100	Gold	5	Act 1 Equip C	22	Act 1 Junk	20	Act 1 Good	3	Nothing	50														0
Act 2 Chest A	6	12	4					100	Gold	5	Act 2 Equip A	22	Act 2 Junk	20	Act 2 Good	3	Nothing	50														0
Act 2 Chest B	6	15	4					100	Gold	5	Act 2 Equip B	22	Act 2 Junk	20	Act 2 Good	3	Nothing	50														0
Act 2 Chest C	6	18	4					100	Gold	5	Act 2 Equip C	22	Act 2 Junk	20	Act 2 Good	3	Nothing	50														0
Act 3 Chest A	6	20	4					100	Gold	5	Act 3 Equip A	22	Act 3 Junk	20	Act 3 Good	3	Nothing	50														0
Act 3 Chest B	6	22	4					100	Gold	5	Act 3 Equip B	22	Act 3 Junk	20	Act 3 Good	3	Nothing	50														0
Act 3 Chest C	6	24	4					100	Gold	5	Act 3 Equip C	22	Act 3 Junk	20	Act 3 Good	3	Nothing	50														0
Act 4 Chest A	6	26	4					100	Gold	5	Act 4 Equip A	22	Act 4 Junk	20	Act 4 Good	3	Nothing	50														0
Act 4 Chest B	6	28	4					100	Gold	5	Act 4 Equip B	22	Act 4 Junk	20	Act 4 Good	3	Nothing	50														0
Act 4 Chest C	6	30	4					100	Gold	5	Act 4 Equip B	22	Act 4 Junk	20	Act 4 Good	3	Nothing	50														0
Act 5 Chest A	6	32	4					100	Gold	5	Act 5 Equip A	22	Act 5 Junk	20	Act 5 Good	3	Nothing	50														0
Act 5 Chest B	6	34	4					100	Gold	5	Act 5 Equip B	22	Act 5 Junk	20	Act 5 Good	3	Nothing	50														0
Act 5 Chest C	6	36	4					100	Gold	5	Act 5 Equip B	22	Act 5 Junk	20	Act 5 Good	3	Nothing	50														0
Act 1 (N) Chest A	6	38	4					100	Gold	5	Act 1 (N) Equip A	22	Act 1 (N) Junk	20	Act 1 (N) Good	3	Nothing	50														0
Act 1 (N) Chest B	6	40	4					100	Gold	5	Act 1 (N) Equip B	22	Act 1 (N) Junk	20	Act 1 (N) Good	3	Nothing	50														0
Act 1 (N) Chest C	6	42	4					100	Gold	5	Act 1 (N) Equip C	22	Act 1 (N) Junk	20	Act 1 (N) Good	3	Nothing	50														0
Act 2 (N) Chest A	6	44	4					100	Gold	5	Act 2 (N) Equip A	22	Act 2 (N) Junk	20	Act 2 (N) Good	3	Nothing	50														0
Act 2 (N) Chest B	6	46	4					100	Gold	5	Act 2 (N) Equip B	22	Act 2 (N) Junk	20	Act 2 (N) Good	3	Nothing	50														0
Act 2 (N) Chest C	6	48	4					100	Gold	5	Act 2 (N) Equip C	22	Act 2 (N) Junk	20	Act 2 (N) Good	3	Nothing	50														0
Act 3 (N) Chest A	6	50	4					100	Gold	5	Act 3 (N) Equip A	22	Act 3 (N) Junk	20	Act 3 (N) Good	3	Nothing	50														0
Act 3 (N) Chest B	6	52	4					100	Gold	5	Act 3 (N) Equip B	22	Act 3 (N) Junk	20	Act 3 (N) Good	3	Nothing	50														0
Act 3 (N) Chest C	6	54	4					100	Gold	5	Act 3 (N) Equip C	22	Act 3 (N) Junk	20	Act 3 (N) Good	3	Nothing	50														0
Act 4 (N) Chest A	6	56	4					100	Gold	5	Act 4 (N) Equip A	22	Act 4 (N) Junk	20	Act 4 (N) Good	3	Nothing	50														0
Act 4 (N) Chest B	6	58	4					100	Gold	5	Act 4 (N) Equip B	22	Act 4 (N) Junk	20	Act 4 (N) Good	3	Nothing	50														0
Act 4 (N) Chest C	6	60	4					100	Gold	5	Act 4 (N) Equip B	22	Act 4 (N) Junk	20	Act 4 (N) Good	3	Nothing	50														0
Act 5 (N) Chest A	6	62	4					100	Gold	5	Act 5 (N) Equip A	22	Act 5 (N) Junk	20	Act 5 (N) Good	3	Nothing	50														0
Act 5 (N) Chest B	6	64	4					100	Gold	5	Act 5 (N) Equip B	22	Act 5 (N) Junk	20	Act 5 (N) Good	3	Nothing	50														0
Act 5 (N) Chest C	6	66	4					100	Gold	5	Act 5 (N) Equip C	22	Act 5 (N) Junk	20	Act 5 (N) Good	3	Nothing	50														0
Act 1 (H) Chest A	6	68	4					100	Gold	5	Act 1 (H) Equip A	22	Act 1 (H) Junk	20	Act 1 (H) Good	3	Nothing	50														0
Act 1 (H) Chest B	6	70	4					100	Gold	5	Act 1 (H) Equip B	22	Act 1 (H) Junk	20	Act 1 (H) Good	3	Nothing	50														0
Act 1 (H) Chest C	6	71	4					100	Gold	5	Act 1 (H) Equip C	22	Act 1 (H) Junk	20	Act 1 (H) Good	3	Nothing	50														0
Act 2 (H) Chest A	6	72	4					100	Gold	5	Act 2 (H) Equip A	22	Act 2 (H) Junk	20	Act 2 (H) Good	3	Nothing	50														0
Act 2 (H) Chest B	6	74	4					100	Gold	5	Act 2 (H) Equip B	22	Act 2 (H) Junk	20	Act 2 (H) Good	3	Nothing	50														0
Act 2 (H) Chest C	6	75	4					100	Gold	5	Act 2 (H) Equip C	22	Act 2 (H) Junk	20	Act 2 (H) Good	3	Nothing	50														0
Act 3 (H) Chest A	6	76	4					100	Gold	5	Act 3 (H) Equip A	22	Act 3 (H) Junk	20	Act 3 (H) Good	3	Nothing	50														0
Act 3 (H) Chest B	6	78	4					100	Gold	5	Act 3 (H) Equip B	22	Act 3 (H) Junk	20	Act 3 (H) Good	3	Nothing	50														0
Act 3 (H) Chest C	6	79	4					100	Gold	5	Act 3 (H) Equip C	22	Act 3 (H) Junk	20	Act 3 (H) Good	3	Nothing	50														0
Act 4 (H) Chest A	6	80	4					100	Gold	5	Act 4 (H) Equip A	22	Act 4 (H) Junk	20	Act 4 (H) Good	3	Nothing	50														0
Act 4 (H) Chest B	6	81	4					100	Gold	5	Act 4 (H) Equip B	22	Act 4 (H) Junk	20	Act 4 (H) Good	3	Nothing	50														0
Act 4 (H) Chest C	6	82	4					100	Gold	5	Act 4 (H) Equip B	22	Act 4 (H) Junk	20	Act 4 (H) Good	3	Nothing	50														0
Act 5 (H) Chest A	6	83	4					100	Gold	5	Act 5 (H) Equip A	22	Act 5 (H) Junk	20	Act 5 (H) Good	3	Nothing	50														0
Act 5 (H) Chest B	6	84	4					100	Gold	5	Act 5 (H) Equip B	22	Act 5 (H) Junk	20	Act 5 (H) Good	3	Nothing	50														0
Act 5 (H) Chest C	6	85	4					100	Gold	5	Act 5 (H) Equip C	22	Act 5 (H) Junk	20	Act 5 (H) Good	3	Nothing	50														0
A1A	7	0	1					90	Gold	9	Act 1 Equip A	45	Act 1 Good	6																		0
A1B	7	5	1					90	Gold	9	Act 1 Equip B	45	Act 1 Good	6																		0
A1C	7	9	1					90	Gold	9	Act 1 Equip C	45	Act 1 Good	6																		0
A2A	7	12	1					90	Gold	9	Act 2 Equip A	45	Act 2 Good	6																		0
A2B	7	15	1					90	Gold	9	Act 2 Equip B	45	Act 2 Good	6																		0
A2C	7	18	1					90	Gold	9	Act 2 Equip C	45	Act 3 Good	6																		0
A3A	7	20	1					90	Gold	9	Act 3 Equip A	45	Act 3 Good	6																		0
A3B	7	22	1					90	Gold	9	Act 3 Equip B	45	Act 3 Good	6																		0
A3C	7	24	1					90	Gold	9	Act 3 Equip C	45	Act 3 Good	6																		0
A4A	7	26	1					90	Gold	9	Act 4 Equip A	45	Act 4 Good	6																		0
A4B	7	29	1					90	Gold	9	Act 4 Equip B	45	Act 4 Good	6																		0
A5A	7	32	1					90	Gold	9	Act 5 Equip A	45	Act 5 Good	6																		0
A5B	7	34	1					90	Gold	9	Act 5 Equip B	45	Act 5 Good	6																		0
A5C	7	36	1					90	Gold	9	Act 5 Equip C	45	Act 5 Good	6																		0
A1A (N)	7	38	1					90	Gold	9	Act 1 (N) Equip A	45	Act 1 (N) Good	6																		0
A1B (N)	7	40	1					90	Gold	9	Act 1 (N) Equip B	45	Act 1 (N) Good	6																		0
A1C (N)	7	41	1					90	Gold	9	Act 1 (N) Equip B	45	Act 1 (N) Good	6																		0
A2A (N)	7	42	1					90	Gold	9	Act 2 (N) Equip A	45	Act 2 (N) Good	6																		0
A2B (N)	7	44	1					90	Gold	9	Act 2 (N) Equip B	45	Act 2 (N) Good	6																		0
A2C (N)	7	45	1					90	Gold	9	Act 2 (N) Equip B	45	Act 2 (N) Good	6																		0
A3A (N)	7	46	1					90	Gold	9	Act 3 (N) Equip A	45	Act 3 (N) Good	6																		0
A3B (N)	7	48	1					90	Gold	9	Act 3 (N) Equip B	45	Act 3 (N) Good	6																		0
A3C (N)	7	50	1					90	Gold	9	Act 3 (N) Equip B	45	Act 3 (N) Good	6																		0
A4A (N)	7	51	1					90	Gold	9	Act 4 (N) Equip A	45	Act 4 (N) Good	6																		0
A4B (N)	7	54	1					90	Gold	9	Act 4 (N) Equip B	45	Act 4 (N) Good	6																		0
A5A (N)	7	57	1					90	Gold	9	Act 5 (N) Equip A	45	Act 5 (N) Good	6																		0
A5B (N)	7	60	1					90	Gold	9	Act 5 (N) Equip B	45	Act 5 (N) Good	6																		0
A5C (N)	7	62	1					90	Gold	9	Act 5 (N) Equip C	45	Act 5 (N) Good	6																		0
A1A (H)	7	63	1					90	Gold	9	Act 1 (H) Equip A	45	Act 1 (H) Good	6																		0
A1B (H)	7	66	1					90	Gold	9	Act 1 (H) Equip B	45	Act 1 (H) Good	6																		0
A1C (H)	7	68	1					90	Gold	9	Act 1 (H) Equip B	45	Act 1 (H) Good	6																		0
A2A (H)	7	69	1					90	Gold	9	Act 2 (H) Equip A	45	Act 2 (H) Good	6																		0
A2B (H)	7	71	1					90	Gold	9	Act 2 (H) Equip B	45	Act 2 (H) Good	6																		0
A2C (H)	7	73	1					90	Gold	9	Act 2 (H) Equip B	45	Act 2 (H) Good	6																		0
A3A (H)	7	74	1					90	Gold	9	Act 3 (H) Equip A	45	Act 3 (H) Good	6																		0
A3B (H)	7	76	1					90	Gold	9	Act 3 (H) Equip B	45	Act 3 (H) Good	6																		0
A3C (H)	7	77	1					90	Gold	9	Act 3 (H) Equip B	45	Act 3 (H) Good	6																		0
A4A (H)	7	79	1					90	Gold	9	Act 4 (H) Equip A	45	Act 4 (H) Good	6																		0
A4B (H)	7	80	1					90	Gold	9	Act 4 (H) Equip B	45	Act 4 (H) Good	6																		0
A5A (H)	7	82	1					90	Gold	9	Act 5 (H) Equip A	45	Act 5 (H) Good	6																		0
A5B (H)	7	83	1					90	Gold	9	Act 5 (H) Equip B	45	Act 5 (H) Good	6																		0
A5C (H)	7	85	1					90	Gold	9	Act 5 (H) Equip C	45	Act 5 (H) Good	6																		0
Cpot 1	12	0	2					1	Potion 1	1																						0
Cpot 2	12	12	2					1	Potion 2	1																						0
Cpot 3	12	20	2					1	Potion 3	1																						0
Cpot 4	12	26	2					1	Potion 4	1																						0
Cpot 5	12	32	2					1	Potion 5	1																						0
Cpot 6	12	38	2					15	Potion 6	14	rvs	1																				0
Cpot 7	12	63	2					15	Potion 7	14	rvl	1																				0
Act 1 Citem A	11	0	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 Equip A	36	Act 1 Good	4																		0
Act 1 Citem B	11	5	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 Equip B	36	Act 1 Good	4																		0
Act 1 Citem C	11	9	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 Equip C	36	Act 1 Good	4																		0
Act 2 Citem A	11	12	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 Equip A	36	Act 2 Good	4																		0
Act 2 Citem B	11	15	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 Equip B	36	Act 2 Good	4																		0
Act 2 Citem C	11	18	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 Equip C	36	Act 3 Good	4																		0
Act 3 Citem A	11	20	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 Equip A	36	Act 3 Good	4																		0
Act 3 Citem B	11	22	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 Equip B	36	Act 3 Good	4																		0
Act 3 Citem C	11	24	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 Equip C	36	Act 3 Good	4																		0
Act 4 Citem A	11	26	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 4 Equip A	36	Act 4 Good	4																		0
Act 4 Citem B	11	29	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 4 Equip B	36	Act 4 Good	4																		0
Act 5 Citem A	11	32	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 Equip A	36	Act 5 Good	4																		0
Act 5 Citem B	11	34	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 Equip B	36	Act 5 Good	4																		0
Act 5 Citem C	11	36	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 Equip C	36	Act 5 Good	4																		0
Act 1 (N) Citem A	11	38	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 (N) Equip A	36	Act 1 (N) Good	4																		0
Act 1 (N) Citem B	11	40	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 (N) Equip B	36	Act 1 (N) Good	4																		0
Act 1 (N) Citem C	11	41	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 (N) Equip B	36	Act 1 (N) Good	4																		0
Act 2 (N) Citem A	11	42	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 (N) Equip A	36	Act 2 (N) Good	4																		0
Act 2 (N) Citem B	11	44	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 (N) Equip B	36	Act 2 (N) Good	4																		0
Act 2 (N) Citem C	11	45	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 (N) Equip B	36	Act 2 (N) Good	4																		0
Act 3 (N) Citem A	11	46	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 (N) Equip A	36	Act 3 (N) Good	4																		0
Act 3 (N) Citem B	11	48	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 (N) Equip B	36	Act 3 (N) Good	4																		0
Act 3 (N) Citem C	11	50	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 (N) Equip B	36	Act 3 (N) Good	4																		0
Act 4 (N) Citem A	11	51	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 4 (N) Equip A	36	Act 4 (N) Good	4																		0
Act 4 (N) Citem B	11	54	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 4 (N) Equip B	36	Act 4 (N) Good	4																		0
Act 5 (N) Citem A	11	57	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 (N) Equip A	36	Act 5 (N) Good	4																		0
Act 5 (N) Citem B	11	60	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 (N) Equip B	36	Act 5 (N) Good	4																		0
Act 5 (N) Citem C	11	62	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 (N) Equip C	36	Act 5 (N) Good	4																		0
Act 1 (H) Citem A	11	63	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 (H) Equip A	36	Act 1 (H) Good	4																		0
Act 1 (H) Citem B	11	66	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 (H) Equip B	36	Act 1 (H) Good	4																		0
Act 1 (H) Citem C	11	68	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 1 (H) Equip B	36	Act 1 (H) Good	4																		0
Act 2 (H) Citem A	11	69	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 (H) Equip A	36	Act 2 (H) Good	4																		0
Act 2 (H) Citem B	11	71	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 (H) Equip B	36	Act 2 (H) Good	4																		0
Act 2 (H) Citem C	11	72	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 2 (H) Equip B	36	Act 2 (H) Good	4																		0
Act 3 (H) Citem A	11	74	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 (H) Equip A	36	Act 3 (H) Good	4																		0
Act 3 (H) Citem B	11	75	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 (H) Equip B	36	Act 3 (H) Good	4																		0
Act 3 (H) Citem C	11	77	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 3 (H) Equip B	36	Act 3 (H) Good	4																		0
Act 4 (H) Citem A	11	78	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 4 (H) Equip A	36	Act 4 (H) Good	4																		0
Act 4 (H) Citem B	11	80	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 4 (H) Equip B	36	Act 4 (H) Good	4																		0
Act 5 (H) Citem A	11	81	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 (H) Equip A	36	Act 5 (H) Good	4																		0
Act 5 (H) Citem B	11	83	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 (H) Equip B	36	Act 5 (H) Good	4																		0
Act 5 (H) Citem C	11	85	1	768	768	768	1024	0	"gld,mul=1536"	60	Act 5 (H) Equip C	36	Act 5 (H) Good	4																		0
Act 1 Champ A	13	0	-2					0	Act 1 Citem A	1	Cpot 1	1																				0
Act 1 Champ B	13	5	-2					0	Act 1 Citem B	1	Cpot 1	1																				0
Act 1 Champ C	13	9	-2					0	Act 1 Citem C	1	Cpot 1	1																				0
Act 2 Champ A	13	12	-2					0	Act 2 Citem A	1	Cpot 2	1																				0
Act 2 Champ B	13	15	-2					0	Act 2 Citem B	1	Cpot 2	1																				0
Act 2 Champ C	13	18	-2					0	Act 2 Citem C	1	Cpot 2	1																				0
Act 3 Champ A	13	20	-2					0	Act 3 Citem A	1	Cpot 3	1																				0
Act 3 Champ B	13	22	-2					0	Act 3 Citem B	1	Cpot 3	1																				0
Act 3 Champ C	13	24	-2					0	Act 3 Citem C	1	Cpot 3	1																				0
Act 4 Champ A	13	26	-2					0	Act 4 Citem A	1	Cpot 4	1																				0
Act 4 Champ B	13	29	-2					0	Act 4 Citem B	1	Cpot 4	1																				0
Act 5 Champ A	13	32	-2					0	Act 5 Citem A	1	Cpot 5	1																				0
Act 5 Champ B	13	34	-2					0	Act 5 Citem B	1	Cpot 5	1																				0
Act 5 Champ C	13	36	-2					0	Act 5 Citem C	1	Cpot 5	1																				0
Act 1 (N) Champ A	13	38	-2					0	Act 1 (N) Citem A	1	Cpot 6	1																				0
Act 1 (N) Champ B	13	40	-2					0	Act 1 (N) Citem B	1	Cpot 6	1																				0
Act 1 (N) Champ C	13	41	-2					0	Act 1 (N) Citem C	1	Cpot 6	1																				0
Act 2 (N) Champ A	13	42	-2					0	Act 2 (N) Citem A	1	Cpot 6	1																				0
Act 2 (N) Champ B	13	44	-2					0	Act 2 (N) Citem B	1	Cpot 6	1																				0
Act 2 (N) Champ C	13	45	-2					0	Act 2 (N) Citem C	1	Cpot 6	1																				0
Act 3 (N) Champ A	13	46	-2					0	Act 3 (N) Citem A	1	Cpot 6	1																				0
Act 3 (N) Champ B	13	48	-2					0	Act 3 (N) Citem B	1	Cpot 6	1																				0
Act 3 (N) Champ C	13	50	-2					0	Act 3 (N) Citem C	1	Cpot 6	1																				0
Act 4 (N) Champ A	13	51	-2					0	Act 4 (N) Citem A	1	Cpot 6	1																				0
Act 4 (N) Champ B	13	54	-2					0	Act 4 (N) Citem B	1	Cpot 6	1																				0
Act 5 (N) Champ A	13	57	-2					0	Act 5 (N) Citem A	1	Cpot 6	1																				0
Act 5 (N) Champ B	13	60	-2					0	Act 5 (N) Citem B	1	Cpot 6	1																				0
Act 5 (N) Champ C	13	62	-2					0	Act 5 (N) Citem C	1	Cpot 6	1																				0
Act 1 (H) Champ A	13	63	-2					0	Act 1 (H) Citem A	1	Cpot 7	1																				0
Act 1 (H) Champ B	13	66	-2					0	Act 1 (H) Citem B	1	Cpot 7	1																				0
Act 1 (H) Champ C	13	68	-2					0	Act 1 (H) Citem C	1	Cpot 7	1																				0
