skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
life tap	1	5	1	1	0	32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	12	StrSkill20		len		3	StrSkill18	StrSkill26	rng																						1					3	StrSkill50	StrSkill79	clc1												40	Sksyn	skillname82	2		63	StrEach	Stplev	par7		63	skillname85	Stplev	par7																						0
poison explosion	2	2	2	2	0	34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																19	StrSkill18		rng		14					9																				1																				40	Sksyn	skillname83	2		63	Skillname507	Poisdplev	par8		63	skillname92	Poisdplev	par8		63	Skillname374	Poisdplev	par8																	0
bone spear	2	3	1	2	0	36	skillname84	skillsd84	skillld84	skillan84	StrSkill3	5																1					10					5	ESkillMiss		1+(blvl/10)+stat('item_nec_spear'.accr)																																					40	Sksyn	skillname84	2		63	skillname68	Magdplev	par8		63	skillname93	Magdplev	par8		63	Skillname374	Magdplev	par8		63	skillname67	Magdplev	par8												0
bloodgolem	3	3	2	3	0	38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1					3	SynergyBloodGolem	StrSkill23	ast1		3	StrSkill80	StrSkill81	dm12		5	StrSkill208		800*(100+pst2)/100		35	StrSkill4		((1+pst5)*(100+pst4))/100	((2+pst5)*(100+pst4))/100	5	StrSkill21		((1+ast6)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100																	40	Sksyn	skillname85	2		18	skillname79																													0
attract	1	3	3	1	0	40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	31	StrSkill20		len																											1					3	StrSkill18	StrSkill26	rng																																															0
decrepify	1	4	2	1	0	42	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	12	StrSkill20		len		3	StrSkill18	StrSkill26	rng																						1					2	StrSkill151	StrSkill23	ast4		3	StrSkill4	StrSkill23	ast3		3	Cgslow	StrSkill23	-ast1																																					0
bone prison	2	4	3	2	0	44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					13			clc1																						12	StrSkill20		par2																	40	Sksyn	skillname88	2		63	skillname68	Hpplev	par8		63	skillname78	Hpplev	par8		63	skillname93	Hpplev	par8		63	Skillname500	Hpplev	par8												0
summon resist	0	0	0	0	0	46	skillname89	skillsd89	skillld89	skillan89	StrSkill3																	2	StrSkill54	StrSkill23	pst1																																																																																		0
irongolem	3	4	2	3	0	48	skillname90	skillsd90	skillld90	skillan90	StrSkill3																	1					5	StrSkill208		600*(100+pst2)/100		35	StrSkill4		((1+pst5)*(100+pst4))/100	((2+pst5)*(100+pst4))/100	5	StrSkill21		((1+ast6)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100		7	StrSkill55		ast1																						40	Sksyn	skillname90	2		18	skillname79																													0
lower resist	1	6	2	1	0	50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	StrSkill191	StrSkill23	ast4		3	StrSkill180	StrSkill23	ast1							18	StrSkillLowerRes																																																						0
poison nova	2	6	2	2	0	52	skillname92	skillsd92	skillld92	skillan92	StrSkill3	5																1					9					14																																								40	Sksyn	skillname92	2		63	Skillname507	Poisdplev	par8		63	skillname83	Poisdplev	par8		63	Skillname374	Poisdplev	par8																	0
bone spirit	2	5	1	2	0	54	skillname93	skillsd93	skillld93	skillan93	StrSkill3	5																1					10																																													40	Sksyn	skillname93	2		63	skillname68	Magdplev	par8		63	skillname84	Magdplev	par8		63	Skillname374	Magdplev	par8		63	skillname67	Magdplev	par8												0
firegolem	3	5	2	3	0	56	skillname94	skillsd94	skillld94	skillan94	StrSkill3																	1					3	SynergyFireGolem	StrSkill23	ast1		35	StrSkill244		sklvl('GHoly Fire'.ln56.edmn)+skill('Golem Mastery'.blvl)*10	sklvl('GHoly Fire'.ln56.edmx)+skill('Golem Mastery'.blvl)*10	35	StrSkill32		edmn	edmx	5	StrSkill208		800*(100+pst2)/100		35	StrSkill4		((1+pst5)*(100+pst4))/100	((2+pst5)*(100+pst4))/100	5	StrSkill21		((1+ast6)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100												40	Sksyn	skillname94	2		18	skillname79																													0
revive	3	6	3	3	0	58	skillname95	skillsd95	skillld95	skillan95	StrSkill3																	1					5	StrSkill97		pets	 																					2	StrSkill4	StrSkill23	ast1		2	StrSkill42	StrSkill23	clc1		12	StrSkill20		clc2							40	Sksyn	skillname95	2		18	skillname69				63	skillname70	Hpplev	par7		63	skillname80	Hpplev	par7		63	skillname70	Damplev	par8		63	skillname80	Damplev	par8							0
sacrifice	1	1	1	1	0	0	skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	clc1											1				1					2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																	18	StrSkill273				18	StrSkill274				73	WeapDamsk		5	4						40	Sksyn	skillname96	2		63	skillname106	Damplev	par7		63	skillname111	Damplev	par7		63	skillname116	Damplev	par7		63	skillname124	Damplev	par8												0
smite	1	1	3	1	0	2	skillname97	skillsd97	skillld97	skillan97	StrSkill3	10																12	StrSkill48		clc2		10					2	StrSkill4	StrSkill23	clc1																	1																				40	Sksyn	skillname97	2		25	skillname117	SmtStunplev			63	skillname101	Magdplev	par8		63	skillname112	Magdplev	par8		63	skillname119	Magdplev	par8												0
might	2	4	1	2	0	4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	2	StrSkill4	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																																										40	Sksyn	skillname98	2		63	skillname108	Damplev	par8		63	skillname103	Damplev	par8		63	skillname112	Damplev	par8		63	skillname115	Damplev	par8												0
prayer	3	1	1	3	0	6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	1					12	DescRegenPercent		(30-(blvl*3/4))*25		3	StrSkill18	StrSkill26	rng																	1																																																							0
resist fire	3	1	3	3	0	8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																	3	StrSkill181	StrSkill23	ast3		2	StrSkill188	StrSkill23	ast1		2	StrSkill253	StrSkill23	ast4		3	StrSkill18	StrSkill26	rng												3	StrSkill175	StrSkill174	pst1		3	StrSkill175	StrSkill23	ast2												40	Sksyn	skillname100	2		63	skillname125	Fabsplev	par8																											0
holy bolt	1	2	2	1	0	10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		clc1	clc2	10																				7	StrSkill205		clc1		18	StrSkill291														40	Sksyn	skillname101	2		63	skillname112	Magdplev	par8		63	skillname121	Magdplev	par8		63	skillname119	Magdplev	par8		63	skillname99	Healplev	par7		63	skillname121	Healplev	par7							0
holy fire	2	3	3	2	0	12	skillname102	skillsd102	skillxld102	skillan102	StrSkill3	5																10					38	StrSkill5	strEskilllighttoattack	edns*par5/256	edxs*par5/256	3	StrSkill18	StrSkill26	rng																																					40	Sksyn	skillname102	2		63	skillname100	Firedplev	par8*2		63	skillname125	Firedplev	par8		63	skillname111	Firedplev	par8																	0
thorns	2	2	1	2	0	14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	2	StrSkill178	StrSkill23	ast2		7	StrSkill55		ast1		3	StrSkill18	StrSkill26	rng																	18	ModStr4a																			40	Sksyn	skillname103	2		63	skillname115	Damplev	par8		63	skillname123	Damplev	par8		63	skillname116	Damplev	par8		63	skillname115	OWplev	par7		63	skillname123	OWplev	par7		63	skillname116	OWplev	par7		0
defiance	3	2	2	3	0	16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	2	StrSkill31	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																																										40	Sksyn	skillname104	2		63	skillname100	Defplev	par8		63	skillname105	Defplev	par8		63	skillname110	Defplev	par8		63	skillname117	Defplev	par7												0
resist cold	3	2	3	3	0	18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	3	StrSkill181	StrSkill23	ast3		2	StrSkill189	StrSkill23	ast1		2	StrSkill254	StrSkill23	ast4		3	StrSkill18	StrSkill26	rng												18	ModStr5z				3	StrSkill176	StrSkill174	pst1		3	StrSkill176	StrSkill23	ast2							40	Sksyn	skillname105	2		63	skillname125	Cabsplev	par8																											0
zeal	1	3	1	1	0	20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	clc2											2				2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc2																						1					7	StrSkill11		clc1												40	Sksyn	skillname106	2		63	skillname96	Damplev	par8		63	skillname111	Damplev	par8		63	skillname116	Damplev	par8																	0
charge	1	3	3	1	0	22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	clc1											2				2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																						1					73	WeapDamsk		5	4											40	Sksyn	skillname107	2		63	skillname108	Damplev	par8		63	skillname98	Damplev	par8		63	skillname115	Damplev	par8																	0
blessed aim	2	1	2	2	0	24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	2	StrSkill106	StrSkill23	ast3		2	StrSkill154	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																	18	ModStr4a																			40	Sksyn	skillname108	2		63	skillname98	CBplev	par8																											0
cleansing	3	3	1	3	0	38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	3	StrSkill184	StrSkill23	ast3		3	StrSkill183	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																	12	DescRegenPercent		(30-(skill('Prayer'.blvl)*3/4))*25																	40	Sksyn	skillname109	2		18	skillname99																													0
resist lightning	3	3	3	3	0	28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	3	StrSkill181	StrSkill23	ast3		2	StrSkill190	StrSkill23	ast1		2	StrSkill255	StrSkill23	ast4		3	StrSkill18	StrSkill26	rng												3	StrSkill177	StrSkill174	pst1		3	StrSkill177	StrSkill23	ast2												40	Sksyn	skillname110	2		63	skillname125	Labsplev	par8																											0
vengeance	1	4	1	1	0	40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				2	StrSkill10	StrSkill23	toht		2	StrSkill7	StrSkill23	clc3		11					2	StrSkill6	StrSkill23	clc2		2	StrSkill5	StrSkill23	clc1							1					73	WeapDamsk		5	4											40	Sksyn	skillname111	2		63	skillname100	Firedplev	par8		63	skillname105	Colddplev	par8		63	skillname110	Ltngdplev	par8		63	skillname125	ElemDampLevAll	par7		63	StrHolyFFS	ElemDampLevEach	par7							0
blessed hammer	1	4	2	1	0	32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					48																																													40	Sksyn	skillname112	2		63	skillname108	Magdplev	par8		63	skillname119	Magdplev	par8		63	skillname121	Magdplev	par8																	0
concentration	2	4	2	2	0	34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	2	StrSkill4	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																						3	StrSkill76	StrSkill23	par5																	40	Sksyn	skillname113	2		63	skillname108	Damplev	par8		63	skillname107	Damplev	par8		63	skillname98	Damplev	par8																	0
holy freeze	2	4	3	2	0	36	skillname114	skillsd114	skillxld114	skillan114	StrSkill3	5																3	StrSkill77	StrSkill23	-ast1		10					38	StrSkill6	strEskilllighttoattack	edns*par5/256	edxs*par5/256	3	StrSkill18	StrSkill26	rng																																40	Sksyn	skillname114	2		63	skillname105	Colddplev	par8*2		63	skillname111	Colddplev	par8		63	skillname125	Colddplev	par8																	0
vigor	3	4	2	3	0	26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	2	StrSkill69	StrSkill23	ast1		2	StrSkill71	StrSkill23	ast2		2	StrSkill89	StrSkill23	ast3		2	StrSkill100	StrSkill23	ast4		3	StrSkill18	StrSkill26	rng																											40	Sksyn	skillname115	2		63	skillname99	Hpplev	1		63	skillname109	Hpplev	1																						0
conversion	1	5	1	1	0	30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5																3	StrSkill99	StrSkill23	dm56		9																									1					16	StrSkill20		par3	par3+par4	19	StrSkill56		rng		18	StrSkill268				40	Sksyn	skillname116	2		63	skillname119	Damplev	par8		63	skillname109	Damplev	par8		63	skillname121	Damplev	par8																	0
holy shield	1	4	3	1	0	42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	12	StrSkill20		len		2	StrSkill110	StrSkill23	ast1		3	StrSkillRD	StrSkill23	ast3		2	StrSkill31	StrSkill23	clc1		49	ItemStats1o									18	StrSkill282				18	StrSkill283				1										40	Sksyn	skillname117	2		63	skillname104	Defplev	par8																											0
holy shock	2	5	3	2	0	44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																10					38	StrSkill7	strEskilllighttoattack	1	edxs*par5/256	3	StrSkill18	StrSkill26	rng																																					40	Sksyn	skillname118	2		63	skillname110	Ltngdplev	par8*2		63	skillname111	Ltngdplev	par8		63	skillname125	Ltngdplev	par8																	0
sanctuary	2	1	1	2	0	46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																10					32	StrSkill171	StrSkill172	pst2		32	StrSkill171	StrSkill173	pst1							3	StrSkill18	StrSkill26	rng							1																				40	Sksyn	skillname119	2		63	skillname98	DamDUplev	par7		63	skillname122	DamDUplev	par7		63	skillname109	Magdplev	par8		63	skillname101	Magdplev	par8		63	skillname112	Magdplev	par8		63	skillname121	Magdplev	par8		0
meditation	3	5	1	3	0	48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	2	StrSkill187	StrSkill23	ast3		2	StrSkill88	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																	12	DescRegenPercent		(30-(skill('Prayer'.blvl)*3/4))*25																	40	Sksyn	skillname120	2		18	skillname99				63	skillname124	Regplev	par7																						0
fist of the heavens	1	6	2	1	0	50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													fistoftheheavensbolt			10					47	StrSkill165		clc1	clc2	50	StrSkill91				5	StrSkill170		clc4												1																				40	Sksyn	skillname121	2		63	skillname101	Hbdplev	par8		63	skillname112	Hbdplev	par8		63	skillname119	Hbdplev	par8		63	skillname101	Ltngdplev	par8		63	skillname112	Ltngdplev	par8		63	skillname118	Ltngdplev	par8		0
fanaticism	2	6	1	2	0	52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	2	StrSkill10	StrSkill23	toht		2	StrSkill106	StrSkill23	ast1		2	FanYDam	StrSkill23	pst1							2	PartDam	StrSkill23	ast3		3	StrSkill18	StrSkill26	rng																						40	Sksyn	skillname122	2		63	skillname98	Damplev	par8		63	skillname113	Damplev	par8																						0
conviction	2	6	3	2	0	56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	3	StrSkill180	StrSkill23	ast2		2	StrSkill21	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																	18	StrSkillConviction																																																						0
redemption	3	6	2	3	0	54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	3	StrSkill185	StrSkill108	clc2		3	StrSkill186	StrSkill108	clc3		3	StrSkill109	StrSkill23	clc1																	3	StrSkill18	StrSkill26	rng																	40	Sksyn	skillname124	2		67	skillname99	Lifrplev	par8		67	skillname120	Manrplev	par7																						0
salvation	3	6	3	3	0	58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	StrSkill54l	StrSkill23	ast3		2	StrSkill54c	StrSkill23	ast2		2	StrSkill54f	StrSkill23	ast1		3	StrSkill18	StrSkill26	rng																																40	Sksyn	skillname125	2		63	skillname100	Resfplev	par8		63	skillname105	Rescplev	par8		63	skillname110	Reslplev	par8																	0
bash	1	4	3	1	0	0	skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	clc2										1				2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																						1					73	WeapDamsk		5	4											40	Sksyn	skillname126	2		63	skillname139	Damplev	par8		63	skillname144	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	par7												0
sword mastery	2	1	1	2	0	2	skillname127	skillsd127	skillld127	skillan127	StrSkill3													1				51	eskillincasemasteryX		macr		2	StrSkill10	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
axe mastery	2	1	3	2	0	4	skillname128	skillsd128	skillld128	skillan128	StrSkill3	5												1				1					11					10					9					8																														40	Sksyn	skillname128	2		63	skillname129	Ltngdplev	par8		63	Skillname385	Ltngdplev	par8		63	skillname134	Ltngdplev	par8		63	Skillname386	Ltngdplev	par8		63	skillname126	Ltngdplev	par8							0
mace mastery	2	3	3	2	0	6	skillname129	skillsd129	skillld129	skillan129	StrSkill3	5													thunder wave maker			1					10																																													40	Sksyn	skillname129	2		63	skillname128	Ltngdplev	par8		63	Skillname385	Ltngdplev	par8		63	skillname134	Ltngdplev	par8		63	Skillname386	Ltngdplev	par8												0
howl	3	1	2	3	0	8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	12	StrSkill59		ln56		2	Ffleeplev	StrSkill23	clc1		19	StrSkill58		ln34																	1																																																							0
find potion	3	4	3	3	0	32	skillname131	skillsd131	skillld131	skillan131	StrSkill3																	7	StrSkill24		clc1																											1																																																							0
leap	3	1	3	3	0	12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	19	StrSkillkb		clc1																											1																																																							0
double swing	1	1	1	1	0	14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																						1					2	StrSkill106	StrSkill23	par5												40	Sksyn	skillname133	2		63	skillname147	Damplev	par8		63	skillname126	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	par7												0
pole arm mastery	2	5	3	2	0	16	skillname134	skillsd134	skillld134	skillan134	StrSkill3	5													angeldustcenter			1					10																									23	StrSkill20																			40	Sksyn	skillname134	2		63	skillname128	Ltngdplev	par8		63	skillname129	Ltngdplev	par8		63	Skillname385	Ltngdplev	par8		63	Skillname386	Ltngdplev	par8												0
throwing mastery	2	1	2	2	0	18	skillname135	skillsd135	skillld135	skillan135	StrSkill3													1				51	eskillincasemasteryX		macr		2	StrSkill10	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
spear mastery	3	5	3	3	0	20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	1					5	StrSkill193		clc4		5	StrSkill192		clc3		5	StrSkill209		pst2		2	StrSkill31	StrSkill23	pst1		13			clc1		18	StrSkill229				5	StrSkill156		"min(ln56-par6,99)"		18	StrSkill157				5	ESkillDecoy		pets		40	Sksyn	skillname136	2		67	skillname145	Pasvplev	par8		67	skillname153	Pasvplev	par8																						0
taunt	3	1	1	3	0	22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																						3	StrSkill38	StrSkill23	ast2																						1					3	StrSkill57	StrSkill23	ast1																																															0
shout	3	2	2	3	0	24	skillname138	skillsd138	skillld138	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ast1																																					40	Sksyn	skillname138	2		63	skillname137	Defplev	par7		63	skillname154	Defplev	par7		67	skillname149	Secplev2	par8/25		67	skillname155	Secplev2	par8/25												0
stun	1	1	3	1	0	26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1				12	StrSkill20		edln		3	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																	1					73	WeapDamsk		5	4											40	Sksyn	skillname139	2		63	skillname144	Damplev	par8		63	skillname126	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	par7												0
double throw	1	2	1	1	0	28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13												2				8					2	StrSkill4	StrSkill23	clc1																						1					73	WeapDamsk		1	4											40	Sksyn	skillname140	2		63	skillname133	Damplev	par8		63	Skillname383	Damplev	par8		63	skillname147	Damplev	par8		63	skillname144	AttRateplev	par6												0
increased stamina	2	2	2	2	0	60	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	6	ModStr1a2		pst1																																																																																		0
find item	2	3	1	2	0	10	skillname142	skillsd142	skillld142	skillan142	StrSkill3																	63		ModStr1w	pst2		63		ModStr1x2	pst1																																																																													0
leap attack	3	3	3	3	0	34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1											2				2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																						1					73	WeapDamsk		5	4											40	Sksyn	skillname143	2		63	skillname132	Damplev	par8		63	skillname139	Damplev	par8		63	skillname126	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	par7							0
concentrate	1	2	3	1	0	36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																	2	StrSkill21	StrSkill23	ast1		2	StrSkill39	StrSkill23	clc4		73	WeapDamsk		5	4						40	Sksyn	skillname144	2		63	skillname139	Damplev	par8		63	skillname126	Damplev	par8		63	skillname152	Damplev	par8		63	skillname152	StrSkill234	1												0
iron skin	2	4	2	2	0	38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	1					5	StrSkillRD		pst2		2	StrSkill21	StrSkill23	pst1																	18	StrSkill284																			40	Sksyn	skillname145	2		63	skillname133	Defplev	par8		63	skillname140	Defplev	par8		63	skillname147	Defplev	par8																	0
battle cry	3	4	1	3	0	40	skillname146	skillsd146	skillld146	skillan146	StrSkill3																	12	StrSkill20		len		3	StrSkill4	StrSkill23	ast2		3	StrSkill21	StrSkill23	ast1																	1																				40	Sksyn	skillname146	2		63	skillname137	Defplev	-par4		63	skillname154	Defplev	-par4		63	skillname137	Damplev	-par6		63	skillname154	Damplev	-par6		67	skillname149	Secplev2	par8/25		67	skillname155	Secplev2	par8/25		0
frenzy	1	4	1	1	0	42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				52	StrSkill89	StrSkill23	15*(par4-par3)/100+par3	ast1	52	StrSkill106	StrSkill23	15*(par6-par5)/100+par5	ast2	2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1												1					12	StrSkill20		len		2	StrSkill195	StrSkill23	clc4							40	Sksyn	skillname147	2		63	skillname133	Damplev	par8		63	skillname126	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	5		63	skillname152	StrSkill196	1							0
increased speed	2	3	2	2	0	30	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	pst1		6	ModStr1c2	StrSkill23	pst2																																																																													0
battle orders	3	4	2	3	0	46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					12	StrSkill20		len		3	StrSkill101	StrSkill23	ast1		3	StrSkill100	StrSkill23	ast2																																40	Sksyn	skillname149	2		63	skillname138	Hpplev	par7		63	skillname137	Hpplev	par7		63	skillname138	Manaplev	par7		63	skillname137	Manaplev	par7		67	skillname146	Secplev2	par8/25		67	skillname155	Secplev2	par8/25		0
grim ward	1	1	2	1	0	64	skillname150	skillsd150	skillld150	skillan150	StrSkill3	5												1				1			10		11					10					9					8																														40	Sksyn	skillname150	2		63	skillname140	Magdplev	par8		63	Skillname383	Magdplev	par8		63	skillname152	Magdplev	par8		63	Skillname384	Magdplev	par8												0
whirlwind	1	6	1	1	0	50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																					40	Sksyn	skillname151	2		63	skillname143	Damplev	par8		63	skillname147	Damplev	par8		63	skillname152	Damplev	par8		63	skillname144	AttRateplev	par7												0
berserk	1	5	3	1	0	52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	7	clc1											2				12	StrSkill20		len		2	StrSkill10	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																	1					2	StrSkill21	StrSkill23	ast2		18	StrSkill206				73	WeapDamsk		5	4	40	Sksyn	skillname152	2		63	skillname139	Damplev	par8		63	skillname144	Damplev	par8		63	skillname126	Damplev	par8		63	skillname144	AttRateplev	par7		63	skillname138	Defplev	par6		63	skillname145	Defplev	par6		0
natural resistance	2	6	2	2	0	54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill198	StrSkill23	pst5		2	StrSkill54	StrSkill23	pst2																																																																													0
war cry	3	5	1	3	0	56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					12	StrSkill48		ln12		9					10					11																														40	Sksyn	skillname154	2		63	skillname137	Damplev	par8		63	skillname146	Damplev	par8																						0
battle command	3	5	2	3	0	58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	12	StrSkill20		len		4	StrSkill121		ast1																						1					18	StrSkill204														40	Sksyn	skillname155	2		67	skillname146	Secplev2	par8/25		67	skillname149	Secplev2	par8/25																						0
scroll of identify	0	0	0	4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
book of identify	0	0	0	4	0	14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
scroll of townportal	0	0	0	4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
book of townportal	0	0	0	4	0	18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
raven	1	1	2	1	0	0	Skillname222	Skillsd222	Skillld222cb	Skillan222	StrSkill3																	7	StrSkill11		ln56		10					9			stat('passive_ltng_mastery'.accr)+(stat('passive_summ_mastery'.accr)*2)		5	ESkillHawk		pets												2	StrSkill154	StrSkill23	pst1																	40	Sksyn	Skillname222	2		25	Skillname228	CBp10lev			25	Skillname238	CBp10lev			63	Skillname389	Ltngdplev	par8																	0
plague poppy	1	1	3	1	0	2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1					14					9					5	StrSkill21		((1+ast5)*(100+pst1))/100		5	StrSkill42		((1+(pst3/256))*(100+clc1))/100		3	StrMinionResElem	StrSkill23	ast1		5	ESkillVines		1+(blvl/5)+stat('skill_extra_minion'.accr)		7	ModVinePoisPierce		-(10+blvl)		18	StrSkillPoisCreeper									40	Sksyn	Skillname223	2		63	Skillname250	Alldplev	par8		63	Skillname239	Alldplev	par8		63	Skillname232	Alldplev	par8		63	Skillname242	Alldplev	par8		63	Skillname389	Hpplev	par2							0
