Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Wounding	100	1	1	35		28				18	56	openwounds		20	20											weap	amul	ring					staf	wand		0	0	0
of the Psyche	100	1	1	40		25				16	57	regen-mana		10	15											amul	ring	scep	staf	wand						0	0	0
of Sorcery	100	1	1	60		35				16	57	regen-mana		20	30											amul	ring	scep	staf	wand						0	0	0
of Skill Master	100	1	1	32		24		ama	1	2	58	oskill	Dopplezon	1	8											amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	40		30		ama	6	2	58	oskill	Multiple Shot	1	4											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		nec	18	2	58	oskill	Killer Scythe	1	12											glov	2hsw						necr			0	0	0
of Skill Master	100	1	1	40		30		ama	6	4	58	oskill	Dodge	1	8											amul	ring	helm	tors				amaz			0	0	0
of Skill Master	100	1	1	48		36		ama	12	2	58	oskill	Slow Missiles	1	8	oskill	Inner Sight	1	8							amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	48		36		ama	12	2	58	oskill	Freezing Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	2	58	oskill	Exploding Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	2	58	oskill	Guided Arrow	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	56		42		ama	18	2	58	oskill	Lightning Strike	1	12											glov	mele						amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Strafe	1	12											glov	miss						amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Pierce	1	8											glov	miss	thro					amaz			0	0	0
of Skill Master	100	1	1	72		54		ama	30	2	58	oskill	Valkyrie	1	8											amul	ring	helm	tors	shld	belt	boot	amaz			0	0	0
of Skill Master	100	1	1	32		24		sor	1	4	58	oskill	Frozen Armor	1	16											amul	ring	helm	tors	shld	belt	boot	sorc			0	0	0
of Skill Master	100	1	1	48		36		sor	1	1	58	oskill	Teleport	1	4											amul	ring	helm	tors	staf			sorc			0	0	0
of Skill Master	100	1	1	40		30		sor	6	4	58	oskill	Enchant	1	4											amul	ring	armo					sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Fire Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Lightning Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	72		54		sor	30	1	58	oskill	Cold Mastery	1	4											amul	ring	helm	tors				sorc			0	0	0
of Skill Master	100	1	1	48		36		nec	1	1	58	oskill	Amplify Damage	1	8											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Clay Golem	1	12	oskill	Golem Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Dim Vision	1	8											amul	ring	helm	tors	pole			necr			0	0	0
of Skill Master	100	1	1	40		30		nec	6	2	58	oskill	Confuse	1	4											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	48		36		nec	12	2	58	oskill	Raise Skeleton	1	8	oskill	Skeleton Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	48		36		nec	12	2	58	oskill	BloodGolem	1	12	oskill	Golem Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	18	1	58	oskill	Decrepify	1	4											amul	ring	helm	tors				necr			0	0	0
of Skill Master	100	1	1	64		48		nec	24	2	58	oskill	FireGolem	1	12	oskill	Golem Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	1	1	72		54		nec	30	2	58	oskill	Raise Skeletal Mage	1	8	oskill	Skeleton Mastery	1	8							amul	ring	helm	tors	shld	belt	boot	necr			0	0	0
of Skill Master	100	0	1	72		54		nec	30	1	58	oskill	Lower Resist	1	4											amul	ring	helm	tors	pole			necr			0	0	0
of Skill Master	100	1	1	32		24		pal	1	3	58	oskill	Blessed Aim	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	32		24		pal	1	3	58	oskill	Sanctuary	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	40		30		pal	6	3	58	oskill	Defiance	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	5	58	oskill	Zeal	1	4											glov	mele						pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Cleansing	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	48		36		pal	12	2	58	oskill	Holy Fire	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Vengeance	1	12											glov	mele						pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Holy Freeze	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	2	58	oskill	Vigor	1	12											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	56		42		pal	18	3	58	oskill	Might	1	16											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	64		48		pal	24	2	58	oskill	Meditation	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	64		48		pal	24	2	58	oskill	Holy Shock	1	16											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	2	58	oskill	Salvation	1	12											amul	ring	helm	tors	shld	belt	boot	pala			0	0	0
of Skill Master	100	1	1	72		54		pal	30	1	58	oskill	Fanaticism	1	12											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	0	1	72		54		pal	30	2	58	oskill	SSummon Grizzly	1	8											amul	ring	weap	glov				pala			0	0	0
of Skill Master	100	1	1	32		24		bar	1	3	58	oskill	Sword Mastery	1	4											glov	mele						barb			0	0	0
of Skill Master	100	0	1	32		24		bar	1	3	58	oskill	Axe Mastery	1	4											glov	axe						barb			0	0	0
of Skill Master	100	0	1	32		24		bar	1	3	58	oskill	Mace Mastery	1	4											glov	blun						barb			0	0	0
of Skill Master	100	0	1	32		24		bar	1	3	58	oskill	Spear Mastery	1	4											glov	spea						barb			0	0	0
of Skill Master	100	1	1	32		24		bar	1	3	58	oskill	Throwing Mastery	1	4											glov	thro						barb			0	0	0
of Skill Master	100	0	1	32		24		bar	1	3	58	oskill	Pole Arm Mastery	1	4											glov	pole						barb			0	0	0
of Skill Master	100	1	1	40		30		bar	6	2	58	oskill	Shout	1	12											amul	ring	helm	tors	spea			barb			0	0	0
of Skill Master	100	1	1	56		42		bar	18	2	58	oskill	Iron Skin	1	4											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	56		42		bar	18	2	58	oskill	Battle Orders	1	12											amul	ring	helm	tors	spea			barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	2	58	oskill	Berserk	1	12											glov	mele						barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	2	58	oskill	Whirlwind	1	8											glov	mele						barb			0	0	0
of Skill Master	100	1	1	72		54		bar	30	1	58	oskill	Natural Resistance	1	4											amul	ring	helm	tors				barb			0	0	0
of Skill Master	100	1	1	32		24		dru	1	2	58	oskill	Raven	1	12											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	48		36		dru	12	2	58	oskill	Wearbear	1	8	oskill	Shape Shifting	1	8	oskill	Maul	1	8			glov	mele						drui			0	0	0
of Skill Master	100	1	1	56		42		dru	18	2	58	oskill	Eruption	1	16											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	56		42		dru	18	4	58	oskill	Oak Sage	1	8	oskill	Heart of Wolverine	1	8							amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	56		42		dru	18	2	58	oskill	Summon Spirit Wolf	1	12	oskill	Summon Fenris	1	12							amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	72		54		dru	30	2	58	oskill	Wearwolf	1	8	oskill	Shape Shifting	1	8	oskill	Fury	1	8			glov	mele						drui			0	0	0
of Skill Master	100	1	1	72		54		dru	30	2	58	oskill	Summon Grizzly	1	16											amul	ring	helm	tors	shld	belt	boot	drui			0	0	0
of Skill Master	100	1	1	48		36		ass	1	1	58	oskill	Cloak of Shadows	1	8											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	56		42		ass	6	1	58	oskill	Quickness	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	48		36		ass	12	4	58	oskill	Claw Mastery	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	72		54		ass	18	1	58	oskill	Fade	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	56		42		ass	18	2	58	oskill	Shadow Master	1	16											amul	ring	helm	tors	shld	belt	boot	assn			0	0	0
of Skill Master	100	1	1	72		54		ass	30	1	58	oskill	Venom	1	4											amul	ring	helm	tors				assn			0	0	0
of Skill Master	100	1	1	72		54		ass	30	2	58	oskill	SCold Missiles	1	12											amul	ring	armo					assn			0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Defiance	1	12											helm	tors									0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Cleansing	1	12											helm	tors									0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Holy Fire T	1	12											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Freeze T	1	12											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Vigor	1	9											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Meditation	1	12											helm	tors									0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Holy Shock T	1	12											helm	tors									0	0	0
of Aurora	100	1	1	88		72				1	59	aura	Salvation	1	9											helm	tors									0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Blessed Aim	1	9											weap										0	0	0
of Aurora	100	1	1	78		56				1	59	aura	Sanctuary	1	9											weap										0	0	0
of Aurora	100	1	1	83		64				1	59	aura	Might	1	12											weap										0	0	0
of Aurora	100	1	1	88		72				1	59	aura	Fanaticism	1	9											weap										0	0	0
Charms																																				0	0	0
of Puncturing	100	1	1	3		1				4	5	dmg-ac		-5	-6											lcha										0	0	0
of Puncturing	100	1	1	13		9				4	5	dmg-ac		-7	-8											lcha										0	0	0
of Puncturing	100	1	1	3		1				4	5	dmg-ac		-3	-4											mcha										0	0	0
of Puncturing	100	1	1	13		9				4	5	dmg-ac		-5	-6											mcha										0	0	0
of Puncturing	100	1	1	3		1				4	5	dmg-ac		-1	-2											scha										0	0	0
of Puncturing	100	1	1	13		9				4	5	dmg-ac		-3	-4											scha										0	0	0
of Thorns	100	0	1	14	21	10				4	6	thorns		6	15											lcha										0	0	0
of Thorns	100	0	1	21	34	15				4	6	thorns		18	30											lcha										0	0	0
of Thorns	100	0	1	34	47	26				4	6	thorns		33	45											lcha										0	0	0
of Thorns	100	0	1	47	57	39				4	6	thorns		48	60											lcha										0	0	0
of Thorns	100	0	1	57		49				4	6	thorns		63	90											lcha										0	0	0
of Thorns	100	0	1	14	21	10				4	6	thorns		4	10											mcha										0	0	0
of Thorns	100	0	1	21	34	15				4	6	thorns		12	20											mcha										0	0	0
of Thorns	100	0	1	34	47	26				4	6	thorns		22	30											mcha										0	0	0
of Thorns	100	0	1	47	57	39				4	6	thorns		32	40											mcha										0	0	0
of Thorns	100	0	1	57		49				4	6	thorns		42	60											mcha										0	0	0
of Thorns	100	0	1	14	21	10				4	6	thorns		2	5											scha										0	0	0
of Thorns	100	0	1	21	34	15				4	6	thorns		6	10											scha										0	0	0
of Thorns	100	0	1	34	47	26				4	6	thorns		11	15											scha										0	0	0
of Thorns	100	0	1	47	57	39				4	6	thorns		16	20											scha										0	0	0
of Thorns	100	0	1	57		49				4	6	thorns		21	30											scha										0	0	0
of Frost	100	1	1	9		6				2	10	cold-len		35	35	cold-min		3	8	cold-max		9	15			lcha										0	0	0
of the Icicle	100	1	1	25		21				2	10	cold-len		35	35	cold-min		9	15	cold-max		16	30			lcha										0	0	0
of the Glacier	100	1	1	50		42				1	10	cold-len		35	35	cold-min		16	24	cold-max		31	45			lcha										0	0	0
of Winter	100	1		85		78				1	10	cold-len		35	35	cold-min		25	30	cold-max		46	60			lcha										0	0	0
of Frost	100	1	1	18		13				2	10	cold-len		25	25	cold-min		2	5	cold-max		6	10			mcha										0	0	0
of the Icicle	100	1	1	39		31				2	10	cold-len		25	25	cold-min		6	10	cold-max		11	20			mcha										0	0	0
of the Glacier	100	1	1	64		56				1	10	cold-len		25	25	cold-min		11	15	cold-max		21	30			mcha										0	0	0
of Winter	100	1		89		81				1	10	cold-len		25	25	cold-min		16	20	cold-max		31	40			mcha										0	0	0
of Frost	100	1	1	27		20				2	10	cold-len		15	15	cold-min		1	3	cold-max		3	5			scha										0	0	0
of the Icicle	100	1	1	42		34				2	10	cold-len		15	15	cold-min		4	5	cold-max		6	10			scha										0	0	0
of the Glacier	100	1	1	66		58				1	10	cold-len		15	15	cold-min		6	8	cold-max		11	15			scha										0	0	0
of Winter	100	1		91		83				1	10	cold-len		15	15	cold-min		9	10	cold-max		16	20			scha										0	0	0
of Flame	100	1	1	9		6				2	11	fire-min		3	10	fire-max		11	18							lcha										0	0	0
of Fire	100	1	1	25		21				2	11	fire-min		11	18	fire-max		19	36							lcha										0	0	0
of Burning	100	1	1	50		42				1	11	fire-min		19	29	fire-max		37	54							lcha										0	0	0
of Incineration	100	1		85		78				1	11	fire-min		30	36	fire-max		55	72							lcha										0	0	0
of Flame	100	1	1	18		13				2	11	fire-min		2	6	fire-max		7	12							mcha										0	0	0
of Fire	100	1	1	39		31				2	11	fire-min		7	12	fire-max		13	24							mcha										0	0	0
of Burning	100	1	1	64		56				1	11	fire-min		13	18	fire-max		25	36							mcha										0	0	0
of Incineration	100	1		89		81				1	11	fire-min		19	24	fire-max		37	48							mcha										0	0	0
of Flame	100	1	1	27		20				2	11	fire-min		1	4	fire-max		4	6							scha										0	0	0
of Fire	100	1	1	42		34				2	11	fire-min		5	6	fire-max		7	12							scha										0	0	0
of Burning	100	1	1	66		58				1	11	fire-min		7	10	fire-max		13	18							scha										0	0	0
of Incineration	100	1		91		83				1	11	fire-min		11	12	fire-max		19	24							scha										0	0	0
of Shock	100	1	1	9		6				2	12	ltng-min		1	1	ltng-max		15	30							lcha										0	0	0
of Lightning	100	1	1	25		21				2	12	ltng-min		1	1	ltng-max		31	60							lcha										0	0	0
of Thunder	100	1	1	50		42				1	12	ltng-min		1	1	ltng-max		61	115							lcha										0	0	0
of Storms	100	1		85		78				1	12	ltng-min		1	1	ltng-max		116	150							lcha										0	0	0
of Shock	100	1	1	18		13				2	12	ltng-min		1	1	ltng-max		10	20							mcha										0	0	0
of Lightning	100	1	1	39		31				2	12	ltng-min		1	1	ltng-max		21	40							mcha										0	0	0
of Thunder	100	1	1	64		56				1	12	ltng-min		1	1	ltng-max		41	70							mcha										0	0	0
of Storms	100	1		89		81				1	12	ltng-min		1	1	ltng-max		71	100							mcha										0	0	0
of Shock	100	1	1	27		20				2	12	ltng-min		1	1	ltng-max		5	10							scha										0	0	0
of Lightning	100	1	1	42		34				2	12	ltng-min		1	1	ltng-max		11	20							scha										0	0	0
of Thunder	100	1	1	66		58				1	12	ltng-min		1	1	ltng-max		21	35							scha										0	0	0
of Storms	100	1		91		83				1	12	ltng-min		1	1	ltng-max		36	50							scha										0	0	0
of Blight	100	1	1	9		6				2	13	dmg-pois	75	105	105											lcha										0	0	0
of Venom	100	1	1	25		21				2	13	dmg-pois	100	231	231											lcha										0	0	0
of Pestilence	100	1	1	50		42				1	13	dmg-pois	125	369	369											lcha										0	0	0
of Anthrax	100	1		85		78				1	13	dmg-pois	150	513	513											lcha										0	0	0
of Blight	100	1	1	18		13				2	13	dmg-pois	75	70	70											mcha										0	0	0
of Venom	100	1	1	39		31				2	13	dmg-pois	100	154	154											mcha										0	0	0
of Pestilence	100	1	1	64		56				1	13	dmg-pois	125	246	246											mcha										0	0	0
of Anthrax	100	1		89		81				1	13	dmg-pois	150	342	342											mcha										0	0	0
of Blight	100	1	1	27		20				2	13	dmg-pois	75	35	35											scha										0	0	0
of Venom	100	1	1	42		34				2	13	dmg-pois	100	77	77											scha										0	0	0
of Pestilence	100	1	1	66		58				1	13	dmg-pois	125	123	123											scha										0	0	0
of Anthrax	100	1		91		83				1	13	dmg-pois	150	171	171											scha										0	0	0
of Craftsmanship	100	1	1	3		2				2	15	dmg-max		1	3											lcha										0	0	0
of Quality	100	1	1	25		18				2	15	dmg-max		4	6											lcha										0	0	0
of Maiming	100	1		47		39				2	15	dmg-max		7	9											lcha										0	0	0
of Craftsmanship	100	1	1	10		7				2	15	dmg-max		1	2											mcha										0	0	0
of Quality	100	1	1	30		22				2	15	dmg-max		3	4											mcha										0	0	0
of Maiming	100	1		50		42				2	15	dmg-max		5	6											mcha										0	0	0
of Craftsmanship	100	1	1	23		17				2	15	dmg-max		1	1											scha										0	0	0
of Quality	100	1	1	38		30				2	15	dmg-max		2	2											scha										0	0	0
of Maiming	100	1		53		45				2	15	dmg-max		3	3											scha										0	0	0
of Balance	100	1	1	1		1				2	18	balance3		10	10											lcha										0	0	0
of Balance	100	1	1	30		23				2	18	balance3		15	15											lcha										0	0	0
of Balance	100	1	1	7		4				2	18	balance2		7	7											mcha										0	0	0
of Balance	100	1	1	34		27				2	18	balance2		10	10											mcha										0	0	0
of Balance	100	1	1	10		7				2	18	balance1		3	3											scha										0	0	0
of Balance	100	1	1	37		30				2	18	balance1		5	5											scha										0	0	0
of Inertia	100	1	1	25		21				3	19	move3		9	9											lcha										0	0	0
of Inertia	100	1	1	30		24				3	19	move2		6	6											mcha										0	0	0
of Inertia	100	1	1	35		27				3	19	move1		3	3											scha										0	0	0
of Greed	100	1	1	1		1				2	21	gold%		12	15											lcha										0	0	0
of Greed	100	1	1	31		24				2	21	gold%		16	21											lcha										0	0	0
of Greed	100	1		70		47				2	21	gold%		22	30											lcha										0	0	0
of Greed	100	1	1	1		1				2	21	gold%		8	10											mcha										0	0	0
of Greed	100	1	1	32		27				2	21	gold%		11	14											mcha										0	0	0
of Greed	100	1		73		50				2	21	gold%		15	20											mcha										0	0	0
of Greed	100	1	1	1		1				2	21	gold%		4	5											scha										0	0	0
of Greed	100	1	1	34		30				2	21	gold%		6	7											scha										0	0	0
of Greed	100	1		76		53				2	21	gold%		8	10											scha										0	0	0
of Fortune	100	1	1	1		1				2	22	mag%		12	15											lcha										0	0	0
of Fortune	100	1	1	31		24				2	22	mag%		16	21											lcha										0	0	0
of Fortune	100	1		70		47				2	22	mag%		22	30											lcha										0	0	0
of Fortune	100	1	1	1		1				2	22	mag%		8	10											mcha										0	0	0
of Fortune	100	1	1	32		27				2	22	mag%		11	14											mcha										0	0	0
of Fortune	100	1		73		50				2	22	mag%		15	20											mcha										0	0	0
of Fortune	100	1	1	1		1				2	22	mag%		4	5											scha										0	0	0
of Fortune	100	1	1	34		30				2	22	mag%		6	7											scha										0	0	0
of Fortune	100	1		76		53				2	22	mag%		8	10											scha										0	0	0
of Life	100	1	1	1		1				4	24	hp		3	10											lcha										0	0	0
of Life	100	1	1	7		5				4	24	hp		9	15											lcha										0	0	0
of Life	100	1	1	13		9				4	24	hp		14	20											lcha										0	0	0
of Substinence	100	1	1	19		14				4	24	hp		21	25											lcha										0	0	0
of Substinence	100	1	1	25		18				4	24	hp		26	30											lcha										0	0	0
of Substinence	100	1	1	31		23				4	24	hp		31	35											lcha										0	0	0
of Vita	100	1	1	37		29				4	24	hp		36	40											lcha										0	0	0
of Vita	100	1	1	43		35				4	24	hp		41	50											lcha										0	0	0
of Vita	100	1		49		41				4	24	hp		51	60											lcha										0	0	0
of Life	100	1	1	1		1				5	24	hp		2	7											mcha										0	0	0
of Life	100	1	1	9		6				5	24	hp		8	10											mcha										0	0	0
of Life	100	1	1	17		12				5	24	hp		11	14											mcha										0	0	0
of Substinence	100	1	1	25		18				5	24	hp		15	18											mcha										0	0	0
of Substinence	100	1	1	33		25				5	24	hp		19	26											mcha										0	0	0
of Vita	100	1	1	41		33				5	24	hp		27	33											mcha										0	0	0
of Vita	100	1		49		41				5	24	hp		34	40											mcha										0	0	0
of Life	100	1	1	1		1				6	24	hp		1	4											scha										0	0	0
of Life	100	1	1	12		9				6	24	hp		5	10											scha										0	0	0
of Substinence	100	1	1	32		24				6	24	hp		11	16											scha										0	0	0
of Vita	100	1		48		40				6	24	hp		17	20											scha										0	0	0
of Strength	100	1	1	1		1				3	30	str		3	5											lcha										0	0	0
of Strength	100	1	1	14		10				3	30	str		6	8											lcha										0	0	0
of Strength	100	1	1	24		20				3	30	str		9	10											lcha										0	0	0
of Strength	100	1		34		30				3	30	str		11	12											lcha										0	0	0
of Strength	100	1	1	10		6				4	30	str		2	4											mcha										0	0	0
of Strength	100	1	1	21		17				4	30	str		5	6											mcha										0	0	0
of Strength	100	1		32		28				4	30	str		7	8											mcha										0	0	0
of Strength	100	1	1	16		12				5	30	str		1	2											scha										0	0	0
of Strength	100	1		36		32				5	30	str		3	4											scha										0	0	0
of Dexterity	100	1	1	1		1				3	31	dex		3	5											lcha										0	0	0
of Dexterity	100	1	1	14		10				3	31	dex		6	8											lcha										0	0	0
of Dexterity	100	1	1	24		20				3	31	dex		9	10											lcha										0	0	0
of Dexterity	100	1		34		30				3	31	dex		11	12											lcha										0	0	0
of Dexterity	100	1	1	10		6				4	31	dex		2	4											mcha										0	0	0
of Dexterity	100	1	1	21		17				4	31	dex		5	6											mcha										0	0	0
of Dexterity	100	1		32		28				4	31	dex		7	8											mcha										0	0	0
of Dexterity	100	1	1	16		12				5	31	dex		1	2											scha										0	0	0
of Dexterity	100	1		36		32				5	31	dex		3	4											scha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		5	7	abs-cold		5	7	abs-ltng		5	7			lcha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		3	5	abs-cold		3	5	abs-ltng		3	5			mcha										0	0	0
of the Hero	100	1		55		42				1	32	abs-fire		1	3	abs-cold		1	3	abs-ltng		1	3			scha										0	0	0
of the Rogue	100	1	1	25		14				2	33	mag%/lvl	1													lcha										0	0	0
of the Rogue	100	1	1	55		29				2	33	mag%/lvl	2													lcha										0	0	0
of the Rogue	100	1		85		44				1	33	mag%/lvl	3													lcha										0	0	0
of the Rogue	100	1	1	45		23				2	33	mag%/lvl	1													mcha										0	0	0
of the Rogue	100	1		85		46				1	33	mag%/lvl	2													mcha										0	0	0
of the Rogue	100	1		85		48				1	33	mag%/lvl	1													scha										0	0	0
of the Collector	100	1	1	25		14				2	33	gold%/lvl	1													lcha										0	0	0
of the Collector	100	1	1	55		29				2	33	gold%/lvl	2													lcha										0	0	0
of the Collector	100	1		85		44				1	33	gold%/lvl	3													lcha										0	0	0
of the Collector	100	1	1	45		23				2	33	gold%/lvl	1													mcha										0	0	0
of the Collector	100	1		85		46				1	33	gold%/lvl	2													mcha										0	0	0
of the Collector	100	1		85		48				1	33	gold%/lvl	1													scha										0	0	0
of the Valiant	100	1	1	19		14				2	34	crush		6	6											lcha										0	0	0
of the Valiant	100	1	1	24		18				2	34	crush		4	4											mcha										0	0	0
of the Valiant	100	1	1	35		27				2	34	crush		2	2											scha										0	0	0
of the Wicked	100	1	1	19		14				2	35	deadly		6	6											lcha										0	0	0
of the Wicked	100	1	1	24		18				2	35	deadly		4	4											mcha										0	0	0
of the Wicked	100	1	1	35		27				2	35	deadly		2	2											scha										0	0	0
of the Angel	100	1	1	10		6				2	36	hp/lvl	1													lcha										0	0	0
of the Angel	100	1	1	20		13				2	36	hp/lvl	2													lcha										0	0	0
of the Angel	100	1	1	30		20				2	36	hp/lvl	3													lcha										0	0	0
of the Angel	100	1	1	40		27				2	36	hp/lvl	4													lcha										0	0	0
of the Angel	100	1	1	50		33				1	36	hp/lvl	5													lcha										0	0	0
of the Angel	100	1		60		40				1	36	hp/lvl	6													lcha										0	0	0
of the Angel	100	1	1	15		10				2	36	hp/lvl	1													mcha										0	0	0
of the Angel	100	1	1	30		21				2	36	hp/lvl	2													mcha										0	0	0
of the Angel	100	1	1	45		32				2	36	hp/lvl	3													mcha										0	0	0
of the Angel	100	1		60		43				1	36	hp/lvl	4													mcha										0	0	0
of the Angel	100	1	1	32		22				2	36	hp/lvl	1													scha										0	0	0
of the Angel	100	1		64		46				1	36	hp/lvl	2													scha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2											lcha										0	0	0
of the Lurker	100	1	1	21		16				2	37	regen		3	4											lcha										0	0	0
of the Lurker	100	1	1	37		32				2	37	regen		5	6											lcha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2											mcha										0	0	0
of the Lurker	100	1	1	25		20				2	37	regen		3	4											mcha										0	0	0
of the Lurker	100	1	1	1		1				2	37	regen		1	2											scha										0	0	0
Jewels																																				0	0	0
of Faith	100	1	1	23		16				6	3	abs-fire		6	12											jewl										0	0	0
of Stoicism	100	1	1	22		16				6	3	abs-ltng		6	12											jewl										0	0	0
of Desire	100	1	1	23		16				6	3	abs-cold		6	12											jewl										0	0	0
of Malice	100	0	1	37		29				10	6	thorns		100	200											jewl										0	0	0
of Fervor	100	1		39		31				10	7	swing1		15	30											jewl										0	0	0
of Frigidity	100	1	1	16		12				8	10	cold-min		5	15	cold-max		10	30	cold-len		50	50			jewl										0	0	0
of the Icicle	100	1	1	35		31				8	10	cold-min		16	30	cold-max		31	60	cold-len		50	50			jewl										0	0	0
of the Glacier	100	1		58		54				8	10	cold-min		31	60	cold-max		61	120	cold-len		50	50			jewl										0	0	0
of Passion	100	1	1	16		12				8	12	fire-min		10	18	fire-max		20	37							jewl										0	0	0
of Fire	100	1	1	35		31				8	12	fire-min		19	37	fire-max		38	75							jewl										0	0	0
of Burning	100	1		58		54				8	12	fire-min		38	75	fire-max		76	150							jewl										0	0	0
of Ennui	100	1	1	16		12				8	13	ltng-min		1	1	ltng-max		30	60							jewl										0	0	0
of Lightning	100	1	1	35		31				8	13	ltng-min		1	1	ltng-max		61	120							jewl										0	0	0
of Thunder	100	1		58		54				8	13	ltng-min		1	1	ltng-max		121	240							jewl										0	0	0
of Ire	100	1	1	4		3				10	14	dmg-max		1	6											jewl										0	0	0
of Wrath	100	1	1	11		8				10	14	dmg-max		7	12											jewl										0	0	0
of Carnage	100	1		25		18				10	14	dmg-max		13	24											jewl										0	0	0
of Joyfulness	100	1	1	5		3				10	15	dmg-min		1	8											jewl										0	0	0
of Bliss	100	1	1	43		37				10	15	dmg-min		5	18											jewl										0	0	0
of Envy	100	1	1	1		1				8	16	pois-min		204	204	pois-max		204	204	pois-len		25	25			jewl										0	0	0
of Blight	100	1	1	16		12				8	16	pois-min		274	274	pois-max		274	274	pois-len		50	50			jewl										0	0	0
of Venom	100	1	1	35		31				8	16	pois-min		410	410	pois-max		410	410	pois-len		75	75			jewl										0	0	0
of Pestilence	100	1		58		54				8	16	pois-min		656	656	pois-max		656	656	pois-len		100	100			jewl										0	0	0
