Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	MinHP(N)	MaxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	MinHP(H)	MaxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
cantor2	239	cantor1	cantor3	1	Cantor	cantor2	epierce	zakarum	ZakarumPriest	heals Zealots and Cantors	ZP	1	1						zealot2				2	4	1	1		6	6	1	24	53	84	cantor	cantor	10	15	14	13				30	30	30	6	12	18	55	65	75	30	45	65	120	120	120	36	38	40																1										1			1	1									ZakarumHeal	S1	2	ZakarumLightning	S1	1	MonTeleport	S1	1	MonBlizzard	S1	1													100	55	20	-50	-40	-30										50	50		20	20	40	110	80	30	2				23	23	23	10	196	258	85	212	67	154	92							204	294	112	324	60	127	135							270	390	150	520	80	170	180							A1	cold	55	33	60	25	55	30	60	50	55	30	60	75																													A3B Eyz	Act 3 Champ B	Act 3 Unique B		A3B Eyz (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Eyz (H)	Act 3 (H) Champ B	Act 3 (H) Unique B								0
cantor3	240	cantor1	cantor4	2	Heirophant	cantor3	epierce	zakarum	ZakarumPriest	heals Zealots and Cantors	ZP	1	1						zealot3				2	4	1	2		6	6	1	25	55	85	cantor	cantor	10	15	14	13				35	35	35	8	14	22	60	70	80	35	50	70	120	120	120	36	38	40																1										1			1	1									ZakarumHeal	S1	3	ZakarumLightning	S1	1	MonTeleport	S1	1	MonBlizzard	S1	1													100	55	20	-50	-40	-30									50		75		20	20	40	46	125	30	2				24	24	24	10	198	260	85	212	69	151	92							204	294	112	324	60	127	135							270	390	150	520	80	170	180							A1	cold	65	31	62	25	65	30	60	50	65	30	60	75																													A3B Eyz	Act 3 Champ B	Act 3 Unique B		A3B Eyz (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Eyz (H)	Act 3 (H) Champ B	Act 3 (H) Unique B								0
cantor4	241	cantor1	cantor5	3	Heirophant	cantor4	epierce	zakarum	ZakarumPriest	heals Zealots and Cantors	ZP	1	1						zealot3				2	4	1	2		6	6	1	25	59	87	cantor	cantor	10	15	14	13				40	40	40	10	16	25	65	75	85	40	55	75	120	120	120	36	38	40																1										1			1	1									ZakarumHeal	S1	3	ZakarumLightning	S1	1	MonTeleport	S1	1	MonBlizzard	S1	1													100	55	20	-50	-40	-30													20	20	46	110	80	30	2				24	24	24	10	198	260	85	212	69	151	92							204	294	112	324	60	127	135							270	390	150	520	80	170	180							A1	cold	75	31	68	25	75	30	60	50	75	30	60	75																													A3B Eyz	Act 3 Champ B	Act 3 Unique B		A3B Eyz (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Eyz (H)	Act 3 (H) Champ B	Act 3 (H) Unique B								0
mephisto	242	mephisto		0	Mephisto	mephisto	actboss	demon	Mephisto		MP	1							councilmember1	councilmember2			1	1	1	1		8	8	0	27	61	93	mephisto	mephisto	14	15	10	6		40	46	15	20	25	25	33	33	25	33	33																																	1	1	1	1	1	1										PrimeLightning	A2	6	PrimeBolt	A2	6	PrimePoisonNova	A2	7	MephistoMissile	A2	5	MephFrostNova	A2	1	Blizzard	A2	5							100			-25	-15	-5			33	33	25	50	20		50	50	25	50	30	70	80	100	80	80	0			1	20	40	50	10	8544	8544	124	4262	295	442	251							12814	12814	240	5330	240	330	300							4414	4414	320	8524	320	440	400																																																	Mephisto	Mephisto	Mephisto	Mephistoq	Mephisto (N)	Mephisto (N)	Mephisto (N)	Mephistoq (N)	Mephisto (H)	Mephisto (H)	Mephisto (H)	Mephistoq (H)	22	0					0
diablo	243	diablo		0	Diablo	diablo	actboss	throne	Diablo		DI	1							venomlord				8	8	1	1		7	13	0	41	65	97	diablo	diablo	14	15	13	12																																													1		1	1	1	1			1							DiabLight	SC	3	DiabCold	S2	4	DiabFire	S1	5	DiabWall	S3	5	DiabRun	seq_diablorun	5	PrimeFirewall	S3	8	DiabPrison	S3	1				100	25		-25	-15	-5			33	33	33	50	45	10	68	68	68	68	55	20	60	70	60	60	0			1	25	50	50	10	12854	12854	87	6924	77	197	313	113	257	251				12814	12814	210	6920	270	330	322	285	375	300				5100	5100	280	10982	360	440	430	380	500	400																																														Diablo	Diablo	Diablo	Diabloq	Diablo (N)	Diablo (N)	Diablo (N)	Diabloq (N)	Diablo (H)	Diablo (H)	Diablo (H)	Diabloq (H)	26	0		1			0
cain2	244	cain2		0	DeckardCain	cain2		human	Npc		DC	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1		1									1																																																									2																																																																																																											0
cain3	245	cain3		0	DeckardCain	cain3		human	Npc		DC	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1		1									1																																																									2																																																																																																											0
cain4	246	cain4		0	DeckardCain	cain4		human	Npc		DC	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1		1									1																																																									2																																																																																																											0
frogdemon1	247	frogdemon1	frogdemon2	0	Swamp Dweller	frogdemon1		frogdemon	FrogDemon		FD	1	1												1	2		9	9	1	22	51	82	frogdemon	frogdemon	10	15	14	13				65	70	85	20	25	30	50	55	75	50	55	65	20	35	50	12	12	12	15	13	10	9	9	9		frogfire								1													1	1									Submerge	seq_froghidden	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	100	20	40	60	2				21	21	21	10	196	258	85	220	65	151	94							248	316	142	224	97	142	150							330	420	190	360	130	190	200																																																	A3A Hrt	Act 3 Champ A	Act 3 Unique A		A3A Hrt (N)	Act 3 (N) Champ A	Act 3 (N) Unique A		A3A Hrt (H)	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
frogdemon2	248	frogdemon1	frogdemon3	1	Bog Creature	frogdemon2		frogdemon	FrogDemon		FD	1	1												1	3		10	10	1	23	52	83	frogdemon	frogdemon	10	15	14	13				70	75	90	20	25	30	50	65	80	50	60	70	25	40	55	12	12	12	14	12	9	9	9	9		frogfire								1													1	1									Submerge	seq_froghidden	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	20	20	120	60	2				22	22	22	10	198	258	85	220	72	158	94							248	316	142	224	97	142	150							330	420	190	360	130	190	200																																																	A3A Hrt	Act 3 Champ A	Act 3 Unique A		A3A Hrt (N)	Act 3 (N) Champ A	Act 3 (N) Unique A		A3A Hrt (H)	Act 3 (H) Champ A	Act 3 (H) Unique A						1	1	0
frogdemon3	249	frogdemon1		2	Slime Prince	frogdemon3		frogdemon	FrogDemon		FD	1	1												2	3		11	11	1	25	53	84	frogdemon	frogdemon	10	15	14	13				75	80	95	20	25	30	50	70	85	50	65	75	30	45	60	12	12	12	13	11	8	9	9	9		frogpois								1													1	1									Submerge	seq_froghidden	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	20	20	40	110	2				24	24	24	10	198	260	85	220	69	151	92							248	316	142	224	97	142	150							330	420	190	360	130	190	200							A1	pois	10	100	100	600	10	100	100	600	10	100	100	600																													A3B Hrt	Act 3 Champ B	Act 3 Unique B		A3B Hrt (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Hrt (H)	Act 3 (H) Champ B	Act 3 (H) Unique B						1	1	0
summoner	250	summoner		0	Summoner	summoner	epierce	human	Summoner		SU	1													1	1		5	5	0	19	57	88	summoner	summoner	14	15	13	10				85	93	98	5	5	5	63	63	63	40	40	40	120	100	80	33	20	10	5	7	9	40	40	40														1							1		1										Glacial Spike	SC	6	Frost Nova	SC	5	Fire Ball	SC	5	VampireFirewall	SC	7	Weaken	SC	4										100	40	11	-50	-40	-30			50	50	50				50	50	50		20	20	80	100	80	20	0			1	18	18	18	10	776	1032	306	984										992	1264	254	1460										1320	1680	340	1744																																																				Summoner	Summoner	Summoner		Summoner (N)	Summoner (N)	Summoner (N)		Summoner (H)	Summoner (H)	Summoner (H)								0
tyrael1	251	tyrael1		0	tyrael	tyrael1			NpcStationary		TX	1													1	1		0	0	0				mednpc	mednpc		15	15	15																																				1		1	1	1		1									1			1																																																						2																																																																																																											0
asheara	252	asheara		0	asheara	asheara		human	Npc		AH	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1	1	1									1																																																									2																																																																																																											0
hratli	253	hratli		0	hratli	hratli		human	Npc		HR	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1	1	1									1																																																									2																																																																																																											0
alkor	254	alkor		0	alkor	alkor		human	Npc		AL	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1	1	1									1																																																									2																																																																																																											0
ormus	255	ormus		0	ormus	ormus		human	Npc		OR	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1	1	1									1																																																									2																																																																																																											0
izual	256	izual		0	izual	izual	epierce	demon	Izual		22	1													1	1		10	16	0	30	62	92	izual	izual	14	15	12	8				45	50	50	50	50	50	66	66	66	0	75	100	20	5	0	3	4	4																	1										1		1	1									Frost Nova	SC	8																						100	40	11	-50	-33	-20	30	30	30	30	75	30	40	30	30	30	75	30	55	55	44	46	80	40	0				50	50	50	10	14222	14222	84	7390	132	237	251							7000	7000	180	4970	180	240	300							5600	5600	240	7948	240	320	400							A1	cold	100	42	84	50	100	50	80	75	100	50	80	100																													Izual	Izual	Izual	Izual	Izual (N)	Izual (N)	Izual (N)	Izual (N)	Izual (H)	Izual (H)	Izual (H)								0
halbu	257	halbu		0	halbu	halbu		human	Npc		20	1													1	1		2	2	0				halbu	halbu		15	15	15																																				1		1	1	1	1	1									1																																																									2																																																																																																											0
tentacle1	258	tentacle1	tentacle2	0	WaterWatcherLimb	tentacle1		tentacle	Tentacle		TN	1													1	1		0	0	0	19	50	78	tentacle	tentacle	8	15	15	15				70	75	80	5	8	10	16	16	16	12	12	12	20	15	15	12	12	12																													1										Submerge	seq_tentaclesubmerge	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	60	20	20	100	2				18	18	18	10	194	258	84	214	76	151	92							158	226	150	190	105	180	135							210	300	200	300	140	240	180																																																																			0
tentacle2	259	tentacle1	tentacle3	1	RiverStalkerLimb	tentacle2		tentacle	Tentacle		TN	1													1	1		0	0	0	21	52	81	tentacle	tentacle	8	15	15	15				80	85	90	10	10	15	14	14	14	14	14	14	16	15	15	12	12	12																													1										Submerge	seq_tentaclesubmerge	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	60	20	20	105	2				20	20	20	10	194	258	85	214	77	154	93							158	226	150	190	105	180	135							210	300	200	300	140	240	180																																																																			0
tentacle3	260	tentacle1		2	StygianWatcherLimb	tentacle3		tentacle	Tentacle		TN	1													1	1		0	0	0	23	55	83	tentacle	tentacle	8	15	15	15				90	95	95	15	15	17	12	12	12	16	16	16	12	12	12	12	12	12																													1										Submerge	seq_tentaclesubmerge	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	60	20	20	110	2				22	22	22	10	198	258	85	214	79	158	94							158	226	150	190	105	180	135							210	300	200	300	140	240	180																																																																			0
tentaclehead1	261	tentaclehead1	tentaclehead2	0	WaterWatcherHead	tentaclehead1		tentacle	TentacleHead		TE	1							tentacle1		1		4	6	1	1		0	0	0	19	50	78	tentaclehead	tentaclehead	8	15	15	15				70	75	80	5	8	10	16	16	16	12	12	12	20	15	15	12	14	14							tentaclegoo									1													1										Submerge	seq_tentheadsubmerge	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	60	20	20	100	2				24	24	24	10	194	258	84	172										204	270	150	324										270	360	200	520																																																																						0
tentaclehead2	262	tentaclehead1	tentaclehead3	1	RiverStalkerHead	tentaclehead2		tentacle	TentacleHead		TE	1							tentacle2		1		4	6	1	1		0	0	0	21	52	81	tentaclehead	tentaclehead	8	15	15	15				80	85	90	10	10	15	14	14	14	14	14	14	16	15	15	12	14	14							tentaclegoo									1													1										Submerge	seq_tentheadsubmerge	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	60	20	20	105	2				27	27	27	10	194	258	85	174										204	270	150	324										270	360	200	520																																																																						0
tentaclehead3	263	tentaclehead1		2	StygianWatcherHead	tentaclehead3		tentacle	TentacleHead		TE	1							tentacle3		1		4	6	1	1		0	0	0	23	55	83	tentaclehead	tentaclehead	8	15	15	15				90	90	95	15	15	17	12	12	12	16	16	16	12	12	12	12	14	14							tentaclegoo									1													1										Submerge	seq_tentheadsubmerge	1	Emerge	S1	1																			100	45	16	-50	-40	-30													25	20	60	20	20	110	2				29	29	29	10	198	258	85	172										204	270	150	324										270	360	200	520																																																																						0
meshif2	264	meshif2		0	meshif	meshif2		human	Npc		M3	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1	1	1									1																																																									2																																																																																																											0
cain5	265	cain5		0	DeckardCain	cain5		human	Npc		1D	1													1	1		2	2	0				mednpc	mednpc		15	15	15																																				1		1	1	1		1									1																																																									2																																																																																																											0
navi	266	navi		0	navi	navi		human	Navi		RG	1													1	1		8	8	0	2	36	70	act1hire	act1hire		15	15	15																												rogue1								1		1	1	1		1								1	1																																				-50	-50	-40																			0								7486	7486	217		0		101							4816	4816	225		0	0	150							1613	1613	300		0	0	200																																																																			0
bloodraven	267	bloodraven		0	Bloodraven	bloodraven	bloodraven	corruptrogue	BloodRaven		CR	1			zombie2	0	0	S1	zombie2				5	9	1	1		6	8	0	11	45	88	bloodraven	bloodraven	13	15	13	10																												raven1							raven2						1				1			1		1										Nest	seq_bloodravencast	1	Quick Strike	seq_brquickstrike	1																			100	45	16	-50	-40	-30		50	50	50	50	50	25	50	50	50	50	50	55	70	60	70	60	60	0				28	28	28	10	486	486	64	302	60	95	253							2896	2896	225	2440	90	150	300							2658	2658	300	3908	120	200	400																																																	Blood Raven	Blood Raven	Blood Raven		Blood Raven (N)	Blood Raven (N)	Blood Raven (N)		Blood Raven (H)	Blood Raven (H)	Blood Raven (H)								0
bug	268	bug		0	Dummy	bug			Idle		BG	1													3	3		2	2	1							15	15	15																																				1	1	1				1								1	1																																																									2																																																																																																											0
scorpion	269	scorpion		0	Dummy	scorpion			Idle		DS	1													4	4		5	5	1				bug	bug		15	15	15																																				1	1	1				1								1	1																																																									2																																																																																																											0
rogue2	270	rogue2		0	RogueScout	rogue2		human	GoodNpcRanged		RG	1													1	1		8	8	0	6	40	74	act1hire	act1hire	10	15	15	15																												rogue1								1			1			1								1	1			1																														100	55	20	-50	-50	-40																			0				15	15	15	5	93	231	84		0		255							180	210	150		0	0	150							180	210	150		0	0	150																																																																			0
roguehire	271	roguehire		0	Dummy	roguehire	hireling	human	Hireable		RG	1													1	1		7	11	0	2	36	70	act1hire	act1hire	10	1	1	1																																				1					1	1								1	1			1						RogueMissile	A1	1																						100	55	20	-50	-50	-40																			4																																																																																																											0
rogue3	272	rogue3		0	Dummy	rogue3		human	TownRogue		RG	1													1	1		8	8	0	6	40	74	act1hire	act1hire	10	15	15	15																												rogue1								1			1			1								1	1																																	100	55	20	-50	-50	-40																			2				75	75	75	5	189	331	84		0		93							180	210	150		0	0	150							180	210	150		0	0	150																																																																			0
gargoyletrap	273	gargoyletrap		0	GargoyleTrap	gargoyletrap	epierce	construct	GargoyleTrap		GT	1													1	1		0	0	0	16	42	82	gargoyletrap	gargoyletrap	9	15	15	15				24	26	28	20	50	80	12	10	8	15	7	0																						1													1	1									GargoyleTrap	seq_gargoyletrap	1																									-50	0	0					70						100		20	20	20	20	1000	20	0				16	16	16	10	198	258	84	212										316	428	52	540										420	570	70	1000																																																																						0
skmage_pois1	274	skmage_pois1	skmage_pois2	1	ReturnedMage	skmage_pois1	epierce	skeleton	SkeletonMage		SK	1	1												1	2		4	4	2	9	41	74	sk_mage	sk_mage	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7	0	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20						70						60	40	20	20	20	25	100	2				9	9	9	10	84	126	84	112										124	180	135	190										166	240	180	440										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													A1B Sol	Act 1 Champ B	Act 1 Unique B		A1B Sol (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		A1B Sol (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skmage_pois2	275	skmage_pois1	skmage_pois3	2	BoneMage	skmage_pois2	epierce	skeleton	SkeletonMage		SK	1	1												1	3		4	4	2	11	43	78	sk_mage	sk_mage	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7	0	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20						70						60	40	20	20	20	25	100	2				11	11	11	10	84	124	84	112										124	180	135	190										166	240	180	440										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													A1C Sol	Act 1 Champ C	Act 1 Unique C		A1C Sol (N)	Act 1 (N) Champ C	Act 1 (N) Unique C		A1C Sol (H)	Act 1 (H) Champ C	Act 1 (H) Unique C								0
skmage_pois3	276	skmage_pois1	skmage_pois4	3	BurningDeadMage	skmage_pois3	epierce	skeleton	SkeletonMage		SK	1	1												2	3		5	5	2	15	46	82	sk_mage	sk_mage	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7	0	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20						70						60	40	20	20	20	25	100	2				15	15	15	10	86	122	84	112										124	180	135	190										166	240	180	440										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													A2A Sol	Act 2 Champ A	Act 2 Unique A		A2A Sol (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		A2A Sol (H)	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skmage_pois4	277	skmage_pois1	skmage_pois5	4	HorrorMage	skmage_pois4	epierce	skeleton	SkeletonMage		SK	1	1												2	4		5	5	2	20	51	83	sk_mage	sk_mage	10	15	15	15				35	65	85	9	10	11	30	30	30	5	6	7	0	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-50	-40	-20						70						60	40	20	20	20	25	100	2				17	17	17	10	84	122	84	110										124	180	135	190										166	240	180	440										A1	pois	100	33	33	100	100	33	33	100	100	33	33	100																													A2B Sol	Act 2 Champ B	Act 2 Unique B		A2B Sol (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		A2B Sol (H)	Act 2 (H) Champ B	Act 2 (H) Unique B								0
fetishshaman1	278	fetishshaman1	fetishshaman2	0	RatManShaman	fetishshaman1	epierce	fetish	FetishShaman	raises Ratmen	FW	1							fetish1	fetishblow1	1	1	2	7	1	1		6	6	1	12	41	75	fetishshaman	fetishshaman	12	15	14	13				40	45	45	0	1	2	15	16	18	66	66	66	50	50	50																			1	1									1			1	1									FetishInferno	A1	7	FetishAura	A1	1	Resurrect2	seq_fetishres	1																100	55	20	-50	-40	-30													35	50	105	40	20	60	2				12	12	12	10	102	164	84	154										146	236	150	530										196	316	200	1040																																																				A1C Flg	Act 1 Champ C	Act 1 Unique C		A1C Flg (N)	Act 1 (N) Champ C	Act 1 (N) Unique C		A1C Flg (H)	Act 1 (H) Champ C	Act 1 (H) Unique C				1				0
fetishshaman2	279	fetishshaman1	fetishshaman3	1	FetishShaman	fetishshaman2	epierce	fetish	FetishShaman	raises Fetishes	FW	1							fetish2	fetishblow2	1	1	2	7	1	1		7	7	1	23	51	83	fetishshaman	fetishshaman	12	15	14	13				40	45	45	0	1	2	15	16	19	66	66	66	50	50	50																			1	1									1			1	1									FetishInferno	A1	8	FetishAura	A1	2	Resurrect2	seq_fetishres	1																100	55	20	-50	-40	-30													35	50	110	40	20	60	2				22	22	22	10	100	162	85	154										146	236	150	530										196	316	200	1040																																																				A3A Flg	Act 3 Champ A	Act 3 Unique A		A3A Flg (N)	Act 3 (N) Champ A	Act 3 (N) Unique A		A3A Flg (H)	Act 3 (H) Champ A	Act 3 (H) Unique A				1				0
fetishshaman3	280	fetishshaman1	fetishshaman4	2	FlayerShaman	fetishshaman3	epierce	fetish	FetishShaman	raises Flayers	FW	1							fetish3	fetishblow3	1	1	2	7	1	1		8	8	1	24	52	84	fetishshaman	fetishshaman	12	15	14	13				40	45	45	0	2	2	15	17	20	66	66	66	50	50	50																			1	1									1			1	1									FetishInferno	A1	9	FetishAura	A1	3	Resurrect2	seq_fetishres	1																100	55	20	-50	-40	-30													35	50	115	40	20	60	2				23	23	23	10	98	162	85	152										146	236	150	530										196	316	200	1040																																																				A3B Flg	Act 3 Champ B	Act 3 Unique B		A3B Flg (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Flg (H)	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
fetishshaman4	281	fetishshaman1	fetishshaman5	3	SoulKillerShaman	fetishshaman4	epierce	fetish	FetishShaman	raises Soul Killers	FW	1							fetish4	fetishblow4	1	1	2	7	1	1		9	9	1	25	53	85	fetishshaman	fetishshaman	12	15	14	13				40	45	45	0	2	3	15	17	21	66	66	66	50	50	50																			1	1									1			1	1									FetishInferno	A1	10	FetishAura	A1	4	Resurrect2	seq_fetishres	1																100	55	20	-50	-40	-30													35	50	120	40	20	60	2				24	24	24	10	98	162	85	154										146	236	150	530										196	316	200	1040																																																				A3B Flg	Act 3 Champ B	Act 3 Unique B		A3B Flg (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Flg (H)	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
fetishshaman5	282	fetishshaman1	fetishshaman6	4	StygianDollShaman	fetishshaman5	epierce	fetish	FetishShaman	raises Stygian Dolls	FW	1							fetish5	fetishblow5	1	1	2	7	1	1		10	10	1	25	55	87	fetishshaman	fetishshaman	12	15	14	13				40	45	45	0	2	3	15	18	22	66	66	66	50	50	50																			1	1									1			1	1									FetishInferno	A1	11	FetishAura	A1	5	Resurrect2	seq_fetishres	1																100	55	20	-50	-40	-30													35	50	125	40	20	60	2				24	24	24	10	98	162	85	154										146	236	150	530										196	316	200	1040																																																				A3B Flg	Act 3 Champ B	Act 3 Unique B		A3B Flg (N)	Act 3 (N) Champ B	Act 3 (N) Unique B		A3B Flg (H)	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
larva	283	larva		0	larva	larva			Idle		LV	1													4	4		1	1	0				larva	larva		15	15	15																																					1	1												1	1																																																									2																																																																																																											0
maggotqueen1	284	maggotqueen1	maggotqueen2	0	SandMaggotQueen	maggotqueen1		sandmaggot	SandMaggotQueen		MQ	1			sandmaggot1	8	0	S1							1	1		4	4	1	12	48	84	maggotqueen	maggotqueen	10	15	15	15				7	8	9	12	12	12																				goospit1									1												1	1									MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													100	40	11	-50	-40	-30													55	20	20	20	20	120	2				12	12	12	10	240	390	84	268										496	608	105	400										660	810	140	740																																																				A2A Hrt	Act 2 Champ A	Act 2 Unique A		A2A Hrt (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		A2A Hrt (H)	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
maggotqueen2	285	maggotqueen1	maggotqueen3	1	RockWormQueen	maggotqueen2		sandmaggot	SandMaggotQueen		MQ	1			sandmaggot2	8	0	S1							1	1		4	4	1	15	49	85	maggotqueen	maggotqueen	10	15	15	15				8	9	10	10	10	10																				goospit2									1												1	1									MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													100	40	11	-50	-40	-30													55	20	20	20	20	120	2				15	15	15	10	242	392	84	268										496	608	105	400										660	810	140	740																																																				A2A Hrt	Act 2 Champ A	Act 2 Unique A		A2A Hrt (N)	Act 2 (N) Champ A	Act 2 (N) Unique A		A2A Hrt (H)	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
maggotqueen3	286	maggotqueen1	maggotqueen4	2	DevourerQueen	maggotqueen3		sandmaggot	SandMaggotQueen		MQ	1			sandmaggot3	8	0	S1							1	1		4	4	1	18	50	86	maggotqueen	maggotqueen	10	15	15	15				9	10	11	8	8	8																				goospit3									1												1	1									MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													100	40	11	-50	-40	-30													55	20	20	20	20	120	2				17	17	17	10	240	390	84	268										496	608	105	400										660	810	140	740																																																				A2B Hrt	Act 2 Champ B	Act 2 Unique B		A2B Hrt (N)	Act 2 (N) Champ B	Act 2 (N) Unique B		A2B Hrt (H)	Act 2 (H) Champ B	Act 2 (H) Unique B							1	0
