name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Battle Scythe	pole	2hsw	9s8	scy	9s8	0		4	1				1	22	49				3	-10	100		65	65	80		40	25	2844	73130		320	scy	scy	9s8	0s8	stf	stf	5	2hsl	2	4					flpscy	invscy	inv9s8u	inv9s8u	1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Partizan	pole	2hsw	9pa	hal	9pa	0		4	1				1	38	79				4	10	100		113	67	80		46	23	5403	109553		320	pax	pax	9pa	0pa	stf	stf	5	2hsl	2	4					flppax	invpax			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Bec-de-Corbin	pole	2hsw	9h9	pax	9h9	0		4	1				1	17	89				5		100		133	91	70		53	25	8418	233659		320	hal	hal	9h9	0h0	stf	stf	5	2hsl	2	4					flphal	invhal			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
Grim Scythe	pole	2hsw	9wc	scy	9wc	0		3	1				1	34	74				5	-10	100		95	95	70		57	25	10464	307760		320	scy	wsc	9wc	0wc	stf	stf	5	2hsl	2	4					flpwsc	invwsc			1	6	0	2 square reach	0	item_woodweaponlarge	12	item_woodweaponlarge	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Jo Staff	staf	2hsw	8ss	bst	8ss	0		2	1				1	10	25				2	-10	100		25		60		29	21	804	25810	1	320	bst	sst	8ss	1ss	stf	stf	5	club	1	3					flpsst	invsst			1	2	1	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Quarterstaff	staf	2hsw	8ls	sst	8ls	0		2	1				1	12	30				3		100		25		60		35	23	1689	44558	1	320	sst	lst	8ls	1ls	stf	stf	5	staf	1	4					flplst	invlst			1	3	1	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Cedar Staff	staf	2hsw	8cs	cst	8cs	0		2	1				1	15	36				3	10	100		25		60		38	25	2598	65112	1	320	cst	cst	8cs	1cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4	1	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Gothic Staff	staf	2hsw	8bs	sst	8bs	0		2	1				1	18	38				3	-10	100		25		60		42	25	3969	100099	1	320	sst	bst	8bs	1bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4	1	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Rune Staff	staf	2hsw	8ws	lst	8ws	0		2	1				1	28	62				4		100		25		65		49	25	6255	164993	1	320	lst	wst	8ws	1ws	stf	stf	5	staf	2	4					flpwst	invwst	inv8wsu	inv8wsu	1	6	1	magically charged	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Edge Bow	bow		8sb	sbw	8sb	0		2	1				1	8	21			13		5		75	25	43		1	29	21	600	22750			sbw	sbw	8sb	1sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Razor Bow	bow		8hb	sbw	8hb	0		2	1				1	10	24			13		-10		75	25	62		1	31	22	1350	36775			sbw	hbw	8hb	1hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Cedar Bow	bow		8lb	lbw	8lb	0		2	1				1	12	31			13				75	53	49		1	34	23	1770	45975			lbw	lbw	8lb	1lb	bow	bow	6	bow	2	4					flplbw	invlbw	inv8lbu	inv8lbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Double Bow	bow		8cb	lbw	8cb	0		2	1				1	13	28			13		-10		75	58	73		1	37	25	2481	64380			lbw	cbw	8cb	1cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Short Siege Bow	bow		8s8	sbb	8s8	0		2	1				1	15	32			13				75	65	80		1	43	25	3435	90853			sbb	sbb	8s8	1s8	bow	bow	6	bow	2	3					flpsbb	invsbb	inv8s8u	inv8s8u	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Long Siege Bow	bow		8l8	lbb	8l8	0		2	1				1	12	44			13		10		75	80	95		1	48	25	4935	131255			lbb	lbb	8l8	1l8	bow	bow	6	bow	2	4					flplbb	invlbb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Rune Bow	bow		8sw	sbb	8sw	0		2	1				1	16	37			13				75	73	103		1	52	25	7800	209600			sbb	swb	8sw	1sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	5	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Gothic Bow	bow		8lw	lbb	8lw	0		2	1				1	12	52			13		10		75	95	118		1	54	25	11025	305900			lbb	lwb	8lw	1lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6	0		0	item_bow	12	item_bow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Arbalest	xbow		8lx	lxb	8lx	0		2	1				1	17	30					-20		75	52	61		1	33	22	2709	60803			lxb	lxb	8lx	1lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	inv8lxu	inv8lxu	1	3	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Siege Crossbow	xbow		8mx	lxb	8mx	0		2	1				1	23	45					-10		75	80	70		1	41	25	7335	162950			lxb	mxb	8mx	1mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	inv8mxu	inv8mxu	1	4	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Balista	xbow		8hx	hxb	8hx	0		2	1				1	36	58					0		75	110	80		1	49	25	12588	313818			hxb	hxb	8hx	1hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6	0	reload lag between shots	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Chu-Ko-Nu	xbow		8rx	hxb	8rx	0		2	1				1	19	38					-40		75	80	95		1	53	25	8517	249709			hxb	rxb	8rx	1rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	5	0	fires 5 shots before reload	0	item_crossbow	12	item_crossbow	0	0	5	1	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
KhalimFlail	mace		qf1	fla	qf1	0				1	15								2	-10	100		41	35	60		0	0	1412	0			fla	fla			1hs	1hs	5	1hsl	2	3					flpfla	invqf1			1	3	0		0	item_sword	12	item_sword	1	0	5	0	0	0	17	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx	0	0
SuperKhalimFlail	mace		qf2	fla	qf2	0				1	15								2	-10	100				60		0	0	1412	0			fla	fla			1hs	1hs	5	1hsl	2	3					flpfla	invqf2			1	3	0		0	item_sword	12	item_sword	1	0	5	0	0	0	17	1	0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx	0	0
Expansion																														0		320																																																																																																																																					
Katar	h2h1		ktr	ktr	ktr	100		2	1	2	9							14	2	0	75	75	20	20	63		1	0	72	3072		320	ktr	ktr	9ar	7ar	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9ar	7ar	1	0
Wrist Blade	h2h1		wrb	ktr	wrb	100		2	1	5	9							14	2	-10	75	75	33	33	67		9	0	220	8980		320	ktr	wrb	9wb	7wb	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	2	1	2	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	9wb	7wb	1	0
Hatchet Hands	h2h1		axf	axf	axf	100		2	1	2	15							14	2	0	75	75	37	37	71		12	0	466	12046		320	axf	axf	9xf	7xf	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					255					255					255					255					255					20					255					255					255					255					255					255					255					255					255					255			1	8	0	9xf	7xf	1	0
Cestus	h2h1		ces	axf	ces	100		2	1	7	15							14	2	-10	75	75	42	42	87		15	0	514	13855		320	axf	ces	9cs	7cs	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	2	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	2	1	2	20					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9cs	7cs	1	0
Claws	h2h1		clw	clw	clw	100		2	1	8	15							14	2	-20	75	75	46	46	79		18	0	683	16897		320	clw	clw	9lw	7lw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			2	4	20					255					255					255					255					255					255					255					255					255					255			5	8	0	9lw	7lw	1	0
Blade Talons	h2h1		btl	clw	btl	100		2	1	10	14							14	2	-30	75	75	50	50	84		21	0	847	20394		320	clw	btl	9tw	7tw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			2	4	255					255					255					255					255					255					255					255					255					255					255			5	8	0	9tw	7tw	1	0
Scissors Katar	h2h1		skr	skr	skr	100		2	1	9	17							14	2	-10	75	75	55	55	83		24	0	1029	24598		320	skr	skr	9qr	7qr	ht1	ht1	5	1hsl	1	3					flpskr	invskr	invskru	invskru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255			2	3	20					255					255					255			1	1	0	9qr	7qr	1	0
Quhab	h2h1		9ar	ktr	9ar	100		2	1	13	26							14	2		75	75	57	57	63		28	21	2334	45926		320	ktr	ktr	9ar	7ar	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Wrist Spike	h2h1		9wb	ktr	9wb	100		2	1	15	29							14	2	-10	75	75	66	66	71		35	24	4203	81498		320	ktr	wrb	9wb	7wb	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Fascia	h2h1		9xf	axf	9xf	100		2	1	10	39							14	2	0	75	75	69	69	79		37	27	4203	90904		320	axf	axf	9xf	7xf	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
Hand Scythe	h2h2		9cs	axf	9cs	100		2	1	18	39							14	2	-10	75	75	73	73	87		40	30	2964	77262		320	axf	ces	9cs	7cs	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
Greater Claws	h2h2		9lw	clw	9lw	100		2	1	20	39							14	2	-20	75	75	76	76	67		43	33	5061	131373		320	clw	clw	9lw	7lw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Greater Talons	h2h2		9tw	clw	9tw	100		2	1	23	37							14	2	-30	75	75	79	79	84		46	37	9291	251025		320	clw	btl	9tw	7tw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Scissors Quhab	h2h2		9qr	skr	9qr	100		2	1	21	42							14	2	-10	75	75	82	82	83		49	40	14223	403771		320	skr	skr	9qr	7qr	ht1	ht1	5	1hsl	1	3					flpskr	invskr	invskru	invskru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Suwayyah	h2h2		7ar	ktr	7ar	100		2	1	41	63							14	2		75	75	99	99	63		55	44	16205	499048		320	ktr	ktr	9ar	7ar	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Wrist Sword	h2h2		7wb	ktr	7wb	100		2	1	39	60							14	2	-10	75	75	105	105	71		61	46	16996	548626		320	ktr	wrb	9wb	7wb	ht1	ht1	5	1hsl	1	3					flpktr	invktr			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
War Fist	h2h2		7xf	axf	7xf	100		2	1	43	63							14	2	0	75	75	108	108	79		62	51	15784	559906		320	axf	axf	9xf	7xf	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
Battle Cestus	h2h2		7cs	axf	7cs	100		2	1	40	60							14	2	-10	75	75	110	110	87		65	54	15537	591601		320	axf	ces	9cs	7cs	ht1	ht1	5	1hsl	1	3					flpaxf	invaxf	invaxfu	invaxfu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xxx	xxx	1	0
Feral Claws	h2h2		7lw	clw	7lw	100		2	1	31	64							14	2	-20	75	75	113	113	67		68	58	16035	651115		320	clw	clw	9lw	7lw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Runic Talons	h2h2		7tw	clw	7tw	100		2	1	34	58							14	2	-30	75	75	115	115	84		71	60	17396	731038		320	clw	btl	9tw	7tw	ht1	ht1	5	1hsl	1	3					flpclw	invclw			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Scissors Suwayyah	h2h2		7qr	skr	7qr	100		2	1	40	62							14	2	-10	75	75	118	118	83		74	64	18002	792585		320	skr	skr	9qr	7qr	ht1	ht1	5	1hsl	1	3					flpskr	invskr	invskru	invskru	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	0	xxx	xxx	1	0
Tomahawk	axe		7ha	hax	7ha	100		3	0	42	62							14	2		100		125	67	60		57	42	14033	398641		320	hax	p01	q00	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Small Crescent	axe		7ax	axe	7ax	100		4	0	40	68							14	2	5	100		115	83	60		59	45	15781	502821		320	axe	p02	q01	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Ettin Axe	axe		72a	axe	72a	100		4	0	43	69							14	2	10	100		145	45	60		63	52	13496	496110		320	axe	p03	q02	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
War Spike	axe		7mp	axe	7mp	100		4	0	41	60							14	2	-10	100		133	54	60		69	59	16108	662266		320	axe	p04	q03	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Berserker Axe	axe		7wa	hax	7wa	100		4	0	37	70							14	3		100		138	59	60		77	64	15957	705673		320	hax	p05	q04	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Feral Axe	axe	2hsw	7la	btx	7la	100		4	0				1	65	165			17	3	-15	110		196	15	60		60	42	17430	517255		320	lax	p06	q05	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Silver Edged Axe	axe	2hsw	7ba	btx	7ba	100		4	0				1	100	150			17	3		110		166	65	60		64	48	18956	638570		320	lax	p07	q06	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Decapitator	axe	2hsw	7bt	lax	7bt	100		4	0				1	91	174			17	3	10	110		189	33	60		67	54	16377	622261		320	btx	p08	q07	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Champion Axe	axe	2hsw	7ga	lax	7ga	100		4	0				1	89	156			17	4	-10	110		167	59	65		75	61	19245	815795		320	btx	p09	q08	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Glorious Axe	axe	2hsw	7gi	gix	7gi	100		4	0				1	103	166			17	4	10	110		164	55	65		79	66	18431	810818		320	gix	p10	q09	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Polished Wand	wand		7wn	wnd	7wn	100		1	0	39	65							14			100		25	15	60		57	42	9412	278830	1	320	wnd	p11	q10	7wn	1hs	1hs	5	1hss	1	3					flpwnd	inv9wn			1	3	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Ghost Wand	wand		7yw	ywn	7yw	100		1	0	43	68							14		10	100		25	15	60		64	48	8786	308045	1	320	ywn	p12	q11	7yw	1hs	1hs	5	1hss	1	3					flpywn	inv9yw			1	3	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	xxx	xxx	1	0
Lich Wand	wand		7bw	bwn	7bw	100		1	0	38	57							14		-20	100		25	15	60		68	56	9208	370300	1	320	bwn	p13	q12	7bw	1hs	1hs	5	1hss	1	3					flpbwn	inv9bw	inv9bwu	inv9bwu	1	3	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
Unearthed Wand	wand		7gw	bwn	7gw	100		1	0	40	62							14		-10	100		25	15	60		76	64	7687	358291	1	320	bwn	p14	q13	7gw	1hs	1hs	5	1hss	1	3					flpgwn	inv9gw			1	3	1	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	7					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	xxx	xxx	1	0
Truncheon	club		7cl	clb	7cl	100		1	0	39	58							14	2	-10	100		88	43	70		55	42	1488	57938		320	clb	p15	q14	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2	0	xxx	xxx	1	0
Mighty Scepter	scep		7sc	mac	7sc	100		2	0	41	64							14	2		100		108	65	65		56	46	20199	647919		320	mac	p16	q15	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Seraph Rod	scep		7qs	mac	7qs	100		4	0	46	67							14	2	10	100		125	69	75		65	57	23501	918288		320	mac	p17	q16	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
Caduceus	scep		7ws	whm	7ws	100		4	0	41	61							14	2	-10	100		155	70	85		71	66	22870	999475		320	whm	p18	q17	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	0	xxx	xxx	1	0
