Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
item_ltng_damagemax_perkill	266		1	6											69	64	1024				10	0			2	10	new_kill_counter	lightmaxdam						1					97	6	1	ModStr1q	ModStr1q	increaseswithkill								0
item_fire_damagemin_perkill	267		1	6											69	64	1024				10	0			2	10	new_kill_counter	firemindam						1					100	6	1	ModStr1p	ModStr1p	increaseswithkill								0
item_fire_damagemax_perkill	268		1	6											69	64	1024				10	0			2	10	new_kill_counter	firemaxdam						1					100	6	1	ModStr1o	ModStr1o	increaseswithkill								0
item_poison_perdex	269		1	10											54	204	1024				9	50			2	5	dexterity	passive_pois_mastery											120	8	1	ModitemdamPoissk	ModitemdamPoissk	increasedwithdex								0
item_pois_damagemax_perkill	270		1	6											69	64	1024				10	0			2	10	new_kill_counter	poisonmaxdam						1					100	6	1	ModStr4h	ModStr4h	increaseswithkill								0
item_magic_damagemax_perkill	271		1	6											69	64	1024				10	0			2	10	new_kill_counter	magicmaxdam						1					100	6	1	ModStrMagMax	ModStrMagMax	increaseswithkill								0
item_magic_perstr	272		1	10											54	204	1024				9	50			2	5	strength	passive_mag2_mastery											120	8	1	ModitemdamMagsk	ModitemdamMagsk	increasedwithstr								0
item_life_perenr	273		1	12												0	1024	8	12	0	12	0			2	6	energy	maxhp											120	6	1	ModStr1u	ModStr1u	increasedwithenr								0
item_cold_percoldres	274		1	10											54	204	1024				9	50			2	5	coldresist	passive_cold_mastery											120	8	1	ModitemdamColdsk	ModitemdamColdsk	increaseswithcoldres								0
item_ltng_pergold	275		1	12												0	1024				10	0			2	5	item_goldbonus	passive_ltng_mastery											120	8	1	ModitemdamLtngsk	ModitemdamLtngsk	increasedwithgold								0
item_fire_perdex	276		1	10											54	204	1024				9	50			2	5	dexterity	passive_fire_mastery											120	8	1	ModitemdamFiresk	ModitemdamFiresk	increasedwithdex								0
item_hp_perdex	277		1	10											54	204	1024	8	12	0	9	50			2	6	dexterity	maxhp											120	6	1	ModStr1u	ModStr1u	increasedwithdex								0
item_hp_perstr	278		1	10											54	204	1024	8	12	0	9	50			2	6	strength	maxhp											120	6	1	ModStr1u	ModStr1u	increasedwithstr								0
min_ltngdmg_per_vitality	279		1	10											54	204	1024				9	50			2	5	vitality	lightmindam						1					106	6	1	ModStr1r	ModStr1r	increaseswithvit								0
max_ltngdmg_per_vitality	280		1	10											54	204	1024				9	50			2	5	vitality	lightmaxdam						1					107	6	1	ModStr1q	ModStr1q	increaseswithvit								0
min_firedmg_per_strength	281		1	10											54	204	1024				9	50			2	5	strength	firemindam						1					108	6	1	ModStr1p	ModStr1p	increasedwithstr								0
max_firedmg_per_strength	282		1	10											54	204	1024				9	50			2	5	strength	firemaxdam						1					109	6	1	ModStr1o	ModStr1o	increasedwithstr								0
unused283	283		1	8												0	1024				8	0																														0
unused284	284		1	8												0	1024				8	0																														0
unused285	285		1	8												0	1024				8	0																														0
unused286	286		1	8												0	1024				8	0																														0
unused287	287		1	8												0	1024				8	0																														0
unused288	288		1	8												0	1024				8	0																														0
unused289	289		1	8												0	1024				8	0																														0
unused290	290		1	8												0	1024				8	0																														0
unused291	291		1	8												0	1024				8	0																														0
unused292	292		1	8												0	1024				8	0																														0
unused293	293		1	8												0	1024				8	0																														0
unused294	294		1	8												0	1024				8	0																														0
unused295	295		1	8												0	1024				8	0																														0
unused296	296		1	8												0	1024				8	0																														0
unused297	297		1	8												0	1024				8	0																														0
unused298	298		1	8												0	1024				8	0																														0
unused299	299		1	8												0	1024				8	0																														0
unused300	300		1	8												0	1024				8	0																														0
unused301	301		1	8												0	1024				8	0																														0
unused302	302		1	8												0	1024				8	0																														0
unused303	303		1	8												0	1024				8	0																														0
unused304	304		1	8												0	1024				8	0																														0
item_pierce_cold	305		1	9											1452	256	1024				8	55																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk									0
item_pierce_fire	306		1	9											1260	248	1024				8	55																	88	20	1	Moditemenresfiresk	Moditemenresfiresk									0
item_pierce_ltng	307		1	9											1207	240	1024				8	55																	88	20	1	Moditemenresltngsk	Moditemenresltngsk									0
item_pierce_pois	308		1	9											1342	253	1024				8	55																	88	20	1	Moditemenrespoissk	Moditemenrespoissk									0
junk_11	309		1	16												0	1024				16	0																	89	3	2	jr11	jr11									0
junk_12	310		1	16												0	1024				16	0																	88	3	2	jr12	jr12									0
junk_13	311		1	16												0	1024				16	0																	87	3	2	jr13	jr13									0
junk_14	312		1	16												0	1024				16	0																	86	3	2	jr14	jr14									0
junk_15	313		1	16												0	1024				16	0																	85	3	2	jr15	jr15									0
junk_16	314		1	16												0	1024				16	0																	84	3	2	jr16	jr16									0
firelength	315		1	16													1024																																			0
burningmin	316		1	16													1024																																			0
burningmax	317		1	16													1024																																			0
progressive_damage	318		1	3													1024																																			0
progressive_steal	319		1	3													1024																																			0
progressive_other	320		1	3													1024																																			0
progressive_fire	321		1	3													1024																																			0
progressive_cold	322		1	3													1024																																			0
progressive_lightning	323		1	3													1024																																			0
item_extra_charges	324		1	6													1024				6	0											1	1																		0
progressive_tohit	325		1	16													1024																																			0
poison_count	326		1	5													1024																	1																		0
damage_framerate	327		1	8													1024																																			0
pierce_idx	328		1	6													1024																																			0
passive_fire_mastery	329		1	12											1137	207	1024				9	111																	88	4	1	ModitemdamFiresk	ModitemdamFiresk									0
passive_ltng_mastery	330		1	12											1074	204	1024				9	111																	88	4	1	ModitemdamLtngsk	ModitemdamLtngsk									0
passive_cold_mastery	331		1	12											1315	189	1024				9	111																	88	4	1	ModitemdamColdsk	ModitemdamColdsk									0
passive_pois_mastery	332		1	12											998	197	1024				9	111																	88	4	1	ModitemdamPoissk	ModitemdamPoissk									0
passive_fire_pierce	333		1	9												1289	1024				8	0																	88	20	1	Moditemenresfiresk	Moditemenresfiresk		88	20	1	ModItemAllPierceStr	ModItemAllPierceStr			0
passive_ltng_pierce	334		1	9												1246	1024				8	0																	88	20	1	Moditemenresltngsk	Moditemenresltngsk		88	20	1	ModItemAllPierceStr	ModItemAllPierceStr			0
passive_cold_pierce	335		1	9												992	1024				8	0																	88	20	1	Moditemenrescoldsk	Moditemenrescoldsk		88	20	1	ModItemAllPierceStr	ModItemAllPierceStr			0
passive_pois_pierce	336		1	9												1172	1024				8	0																	88	20	1	Moditemenrespoissk	Moditemenrespoissk		88	20	1	ModItemAllPierceStr	ModItemAllPierceStr			0
passive_critical_strike	337		1	9													1024				8	0																														0
passive_dodge	338		1	9													1024				7	0																	5	4	1	ModpasvDodge	ModpasvDodge		5	4	1	ModItemTotalAvoidStr	ModItemTotalAvoidStrNeg			0
passive_avoid	339		1	9													1024				7	0																	5	4	1	ModpasvAvoid	ModpasvAvoid		5	4	1	ModItemTotalAvoidStr	ModItemTotalAvoidStrNeg			0
passive_evade	340		1	9													1024				7	0																	5	4	1	ModpasvEvade	ModpasvEvade		5	4	1	ModItemTotalAvoidStr	ModItemTotalAvoidStrNeg			0
passive_warmth	341		1	9													1024				8	0																														0
passive_mastery_melee_th	342		1	11	8												1024				8	0																														0
passive_mastery_melee_dmg	343		1	11	8												1024				8	0																														0
passive_mastery_melee_crit	344		1	9	8												1024				8	0																														0
passive_mastery_throw_th	345		1	11	8												1024				8	0																														0
passive_mastery_throw_dmg	346		1	11	8												1024				8	0																														0
passive_mastery_throw_crit	347		1	9	8												1024				8	0																														0
passive_weaponblock	348		1	9	8												1024				8	0																														0
passive_summon_resist	349		1	9													1024				8	0																														0
modifierlist_skill	350			9													1024																																			0
modifierlist_level	351			8													1024																																			0
last_sent_hp_pct	352		1	8													1024																																			0
source_unit_type	353			5													1024																																			0
source_unit_id	354			32													1024																																			0
shortparam1	355			16													1024																																			0
questitemdifficulty	356																1024				2	0																														0
junk_17	357		1	16												0	1024				16	0																	83	3	2	jr17	jr17									0
junk_18	358		1	16												0	1024				16	0																	82	3	2	jr18	jr18									0
rune_01	359		1	14												0	1024				14	0																	50	3	2	r01	r01									0
rune_02	360		1	14												0	1024				14	0																	49	3	2	r02	r02									0
rune_03	361		1	14												0	1024				14	0																	48	3	2	r03	r03									0
rune_04	362		1	14												0	1024				14	0																	47	3	2	r04	r04									0
rune_05	363		1	14												0	1024				14	0																	46	3	2	r05	r05									0
rune_06	364		1	14												0	1024				14	0																	45	3	2	r06	r06									0
rune_07	365		1	14												0	1024				14	0																	44	3	2	r07	r07									0
rune_08	366		1	14												0	1024				14	0																	43	3	2	r08	r08									0
rune_09	367		1	14												0	1024				14	0																	42	3	2	r09	r09									0
rune_10	368		1	14												0	1024				14	0																	41	3	2	r10	r10									0
rune_11	369		1	14												0	1024				14	0																	40	3	2	r11	r11									0
rune_12	370		1	14												0	1024				14	0																	39	3	2	r12	r12									0
rune_13	371		1	14												0	1024				14	0																	38	3	2	r13	r13									0
rune_14	372		1	14												0	1024				14	0																	37	3	2	r14	r14									0
rune_15	373		1	14												0	1024				14	0																	36	3	2	r15	r15									0
rune_16	374		1	14												0	1024				14	0																	35	3	2	r16	r16									0
rune_17	375		1	14												0	1024				14	0																	34	3	2	r17	r17									0
rune_18	376		1	14												0	1024				14	0																	33	3	2	r18	r18									0
rune_19	377		1	14												0	1024				14	0																	32	3	2	r19	r19									0
rune_20	378		1	14												0	1024				14	0																	31	3	2	r20	r20									0
rune_21	379		1	14												0	1024				14	0																	30	3	2	r21	r21									0
rune_22	380		1	14												0	1024				14	0																	29	3	2	r22	r22									0
rune_23	381		1	14												0	1024				14	0																	28	3	2	r23	r23									0
rune_24	382		1	14												0	1024				14	0																	27	3	2	r24	r24									0
rune_25	383		1	14												0	1024				14	0																	26	3	2	r25	r25									0
rune_26	384		1	14												0	1024				14	0																	25	3	2	r26	r26									0
rune_27	385		1	14												0	1024				14	0																	24	3	2	r27	r27									0
rune_28	386		1	14												0	1024				14	0																	23	3	2	r28	r28									0
rune_29	387		1	14												0	1024				14	0																	22	3	2	r29	r29									0
rune_30	388		1	14												0	1024				14	0																	21	3	2	r30	r30									0
rune_31	389		1	14												0	1024				14	0																	20	3	2	r31	r31									0
rune_32	390		1	14												0	1024				14	0																	19	3	2	r32	r32									0
rune_33	391		1	14												0	1024				14	0																	18	3	2	r33	r33									0
rune_34	392		1	14												0	1024				14	0																	17	3	2	r34	r34									0
rune_35	393		1	14												0	1024				14	0																	16	3	2	r35	r35									0
rune_36	394		1	14												0	1024				14	0																	15	3	2	r36	r36									0
rune_37	395		1	14												0	1024				14	0																	14	3	2	r37	r37									0
rune_38	396		1	14												0	1024				14	0																	13	3	2	r38	r38									0
rune_39	397		1	14												0	1024				14	0																	12	3	2	r39	r39									0
rune_40	398		1	14												0	1024				14	0																	11	3	2	r40	r40									0
rune_41	399		1	14												0	1024				14	0																	10	3	2	r41	r41									0
rune_42	400		1	14												0	1024				14	0																	9	3	2	r42	r42									0
rune_43	401		1	14												0	1024				14	0																	8	3	2	r43	r43									0
rune_44	402		1	14												0	1024				14	0																	7	3	2	r44	r44									0
rune_45	403		1	14												0	1024				14	0																	6	3	2	r45	r45									0
rune_46	404		1	14												0	1024				14	0																	5	3	2	r46	r46									0
item_nec_holyfire	405		1	8												0	1024				8	0																	100	2	1	ModStrNecFire	ModStrNecFire									0
item_nec_skeli	406		1	8												0	1024				8	0																	100	3	0	ModStrNecSkeli	ModStrNecSkeli									0
item_barb_warcry	407		1	8												0	1024				8	0																	100	2	1	ModStrBarbWarCry	ModStrBarbWarCry									0
item_barb_ltngskill	408		1	8												0	1024				8	0																	100	4	1	ModStrBarbLtngSkill	ModStrBarbLtngSkill									0
item_barb_thunder	409		1	8												0	1024				8	0																	100	1	1	ModStrBarbThunder	ModStrBarbThunder									0
item_barb_frenzy	410		1	8												0	1024				8	0																	100	1	1	ModStrBarbFrenzy	ModStrBarbFrenzy									0
item_barb_frenzy2	411		1	8												0	1024				8	0																	100	2	1	ModStrBarbFrenzy2	ModStrBarbFrenzy2									0
item_druid_bolder	412		1	8												0	1024				8	0																	100	1	1	ModStrDruidBoulder	ModStrDruidBoulder									0
item_druid_spikes	413		1	8												0	1024				8	0																	100	1	1	ModStrDruidSpike	ModStrDruidSpike									0
item_druid_wolf	414		1	8												0	1024				8	0																	100	2	1	ModStrDruidWolves	ModStrDruidWolves									0
item_druid_wolf2	415		1	8												0	1024				8	20																	100	1	1	ModStrDruidWolves2	ModStrDruidWolves2									0
item_druid_claws	416		1	8												0	1024				8	0																	100	1	1	ModStrDruidCharge	ModStrDruidCharge									0
item_druid_shock	417		1	8												0	1024				8	0																	100	9	0	ModStrDruidShock	ModStrDruidShock	increasedwithmana								0
item_sorc_twister	418		1	8												0	1024				8	0																	100	3	0	ModStrSorcTwister	ModStrSorcTwister									0
item_sorc_shower	419		1	8												0	1024				8	0																	100	9	0	ModStrSorcShower	ModStrSorcShower	increasedwithdex								0
item_ama_hawk	420		1	14												0	1024				14	0																	100	4	1	ModStrAmaHawk	ModStrAmaHawk									0
item_ama_hawk2	421		1	14												0	1024				14	0																	100	4	1	ModStrAmaHawk2	ModStrAmaHawk2									0
item_pala_bolt	422		1	14												0	1024				14	0																	100	9	0	ModStrPalaBolt	ModStrPalaBolt	increasedwithmana								0
item_pala_tick	423		1	14												0	1024				14	0																	100	1	2	ModStrPalaTick	ModStrPalaTick									0
item_pala_tele	424		1	14												0	1024				14	0																	100	9	0	ModStrPalaTele	ModStrPalaTele	increasedwithmana								0
skill_extra_minion2	425		1	8												0	1024				8	0																	25	1	1	ModStrMinion2	ModStrMinion2									0
item_sorc_bolt	426		1	14												0	1024				14	0																	100	3	0	ModSorcBolt	ModSorcBolt									0
passive_phys_pierce	427		1	14												0	1024				14	0																	88	20	1	Moditemenresphyssk	Moditemenresphyssk		88	20	1	ModItemAllPierceStr	ModItemAllPierceStr			0
abs-phys_percent	428		1	14												0	1024				14	0																	48	2	2	ModItemPhysAbsPercent	ModItemPhysAbsPercent									0
abs-phys	429		1	14												0	1024				14	0																	54	1	1	ModItemPhysAbsorb	ModItemPhysAbsorb									0
passive_mag_pierce	430		1	14												0	1024				14	0																	88	20	1	Moditemenresmagsk	Moditemenresmagsk		88	20	1	ModItemAllPierceStr	ModItemAllPierceStr			0
item_nec_spear	431		1	8												0	1024				8	0																	100	1	1	ModStrNecSpear	ModStrNecSpear									0
unused432	432		1	14												0	1024				14	0																														0
unused433	433		1	14												0	1024				14	0																														0
item_healonattack	434		1	7							1				81	49	1024		6	0	9	0												1	domeleeattack	28			22	1	1	ModitemHealAttack	ModitemHealAttack									0
item_slowthorns	435		1	9							1				12	3	1024		8	0	8	0												1	damagedinmelee	19	damagedbymissile	19	162	2	2	ModStrSlowthorns	ModStrSlowthorns									0
item_skillonhitmele	436		1	7	16						1			2	210	128	1024				7	0	16											1	domeleedamage	20			255	20	0	SplashStringWeap	SplashStringWeap									0
item_26	437		1	16												0	1024				16	0																	21	3	2	ocr1	ocr1									0
item_01	438		1	16												0	1024				16	0																	24	3	2	map	map									0
item_02	439		1	16												0	1024				16	0																	23	3	2	ddd	ddd									0
item_03	440		1	16												0	1024				16	0																	22	3	2	yyy	yyy									0
item_04	441		1	16												0	1024				16	0																	20	3	2	zzz	zzz									0
item_05	442		1	16												0	1024				16	0																	19	3	2	brz	brz									0
item_06	443		1	16												0	1024				16	0																	18	3	2	eyz	eyz									0
item_07	444		1	16												0	1024				16	0																	17	3	2	qll	qll									0
item_08	445		1	16												0	1024				16	0																	16	3	2	spe	spe									0
item_09	446		1	16												0	1024				16	0																	15	3	2	tal	tal									0
item_10	447		1	16												0	1024				16	0																	14	3	2	jaw	jaw									0
item_11	448		1	16												0	1024				16	0																	13	3	2	fng	fng									0
item_12	449		1	16												0	1024				16	0																	12	3	2	hrn	hrn									0
item_13	450		1	16												0	1024				16	0																	11	3	2	scz	scz									0
item_14	451		1	16												0	1024				16	0																	10	3	2	hrt	hrt									0
item_15	452		1	16												0	1024				16	0																	9	3	2	sol	sol									0
item_16	453		1	16												0	1024				16	0																	8	3	2	ear2	ear2									0
item_17	454		1	16												0	1024				16	0																	7	3	2	flg	flg									0
item_18	455		1	16												0	1024				16	0																	6	3	2	sdo	sdo									0
item_19	456		1	16												0	1024				16	0																	2	3	2	99j2	99j2									0
item_20	457		1	16												0	1024				16	0																	1	3	2	rvs2	rvs2									0
item_21	458		1	16												0	1024				16	0																	5	3	2	bcpn1	bcpn1									0
item_22	459		1	16												0	1024				16	0																	4	3	2	bcpn2	bcpn2									0
item_23	460		1	16												0	1024				16	0																	3	3	2	bcpn3	bcpn3									0
junk_07	461		1	16												0	1024				16	0																	93	3	2	jr7	jr7									0
junk_08	462		1	16												0	1024				16	0																	92	3	2	jr8	jr8									0
item_craftflag2	463		1	10												0	1024				10	0																	162	3	0	Forged Jew	Forged Jew									0
item_tinkerflag2	464		1	4												0	1024				8	0																	1	3	1	Tinker	Tinker									0
item_24	465		1	16												0	1024				16	0																	21	3	2	qqq	qqq									0
item_maxdamage_percent2	466		1	11											65	10	1024				10	123			1			maxdamage	secondary_maxdamage	item_throw_maxdamage				1					129	3	0	ModStr2j	ModStr2j									0
item_mindamage_percent2	467		1	11											65	10	1024				10	123			1			mindamage	secondary_mindamage	item_throw_mindamage				1					130	3	0	ModStr2k	ModStr2k									0
junk_09	468		1	16												0	1024				16	0																	70	3	2	jr9	jr9									0
rune_50	469		1	14												0	1024				14	0																	1	3	2	r50	r50									0
xtal_00	470		1	18												0	1024				18	0																	12	3	2	xt0	xt0									0
xtal_01	471		1	18												0	1024				18	0																	11	3	2	xt1	xt1									0
xtal_02	472		1	18												0	1024				18	0																	10	3	2	xt2	xt2									0
xtal_03	473		1	18												0	1024				18	0																	9	3	2	xt3	xt3									0
xtal_04	474		1	18												0	1024				18	0																	8	3	2	xt4	xt4									0
xtal_05	475		1	18												0	1024				18	0																	7	3	2	xt5	xt5									0
xtal_06	476		1	18												0	1024				18	0																	6	3	2	xt6	xt6									0
xtal_07	477		1	18												0	1024				18	0																	5	3	2	xt7	xt7									0
xtal_08	478		1	18												0	1024				18	0																	4	3	2	xt8	xt8									0
xtal_09	479		1	18												0	1024				18	0																	3	3	2	xt9	xt9									0
xtal_10	480		1	18												0	1024				18	0																	2	3	2	xtx	xtx									0
xtal_11	481		1	18												0	1024				18	0																	1	3	2	xty	xty									0
passive_mag2_mastery	482		1	12											1231	215	1024				9	111																	88	4	1	ModitemdamMagsk	ModitemdamMagsk									0
passive_wind_mastery	483		1	12											1231	215	1024				9	111																	88	4	1	ModitemdamWindsk	ModitemdamWindsk									0
item_jewelflag	484		1	4												0	1024				4	0																														0
item_mercflag	485		1	4												0	1024				4	0																	161	3	0	Merc Forged	Merc Forged									0
passive_summ_mastery	486		1	12											1231	215	1024				9	111																	88	4	1	ModitemdamSummsk	ModitemdamSummsk									0
item_summskills	487		1	8							1				7581	1024	1024				4	0																	158	1	1	ModStr3kSum	ModStr3kSum									0
item_extraflag	488		1	4												0	1024				4	0																														0
skill_maxlvl	489		1	8												0	1024				8	0																	25	3	2	maxlvl	maxlvl									0
item_strength_percent	490		1	16											32093	204	1024				6	10			11			strength											58	4	1	ModStr1a	ModStr1a									0
item_dexterity_percent	491		1	16											32093	204	1024				6	10			11			dexterity											58	4	1	ModStr1b	ModStr1b									0
item_vitality_percent	492		1	16											32093	204	1024				6	10			11			vitality											58	4	1	ModStr1c	ModStr1c									0
item_energy_percent	493		1	16											32093	204	1024				6	10			11			energy											58	4	1	ModStr1d	ModStr1d									0
curse_resistance_length	494			9											159	33	1024				9	0																	35	2	2	ModStrcurseresist	ModStrcurseresist									0
skill_extra_minion	495		1	8												0	1024				8	0																	25	1	1	ModStrMinion	ModStrMinion									0
skill_extra_trap	496		1	8												0	1024				8	0																	25	1	1	ModStrTrap	ModStrTrap									0
item_corrupted	497		1	4												0	1024				10	0																	163	3	0	ModStrCorrupt	ModStrCorrupt									0
unused498	498		1	8												0	1024				8	0																														0
unused499	499		1	8												0	1024				8	0																														0
unused500	500		1	8												0	1024				8	0																														0
item_dye	501			6													1024		6	0	6	0											1																			0
Kill_display	502		1	4													1024				3	0			2	0	new_kill_counter	kill_dummy											90	3	1	kills	kills									0
kill_dummy	503																1024																																			0
heal_kill_per_maxhp	504		1	11											54	204	1024				10	50			2	10	maxhp	item_healafterkill																								0
killheal_dummy	505		1	4											54	204	1024				3	0																	34	19	0	healkillStr	healkillStr									0
item_corrupt_roll	506		1	11													1024				10	0																														0
item_strength_perkill	507		1	6											1078	170	1024				6	0			2	13	new_kill_counter	strength						1					94	6	1	ModStr1a	ModStr1a	increaseswithkill								0
item_dexterity_perkill	508		1	6											1078	170	1024				6	0			2	13	new_kill_counter	dexterity						1					94	6	1	ModStr1b	ModStr1b	increaseswithkill								0
item_vitality_perkill	509		1	6											1078	170	1024				6	0			2	13	new_kill_counter	vitality						1					94	6	1	ModStr1c	ModStr1c	increaseswithkill								0
item_energy_perkill	510		1	6											1078	170	1024				6	0			2	13	new_kill_counter	energy						1					94	6	1	ModStr1d	ModStr1d	increaseswithkill								0
